day_index,file,condition,tag_raw,acquired_at,live_time_s,rate_747_cps,rate_747_err,rate_633_cps,rate_633_err
1,10.18_1_with Pb.root,Pb,Pb,2025-10-18 21:22:02,571.0,13.375000,0.153048,3.548000,0.078827
1,10.18_2_with Pb.root,Pb,Pb,2025-10-18 22:29:03,618.0,14.231000,0.151748,3.864000,0.079072
1,10.18_3_with Pb.root,Pb,Pb,2025-10-18 23:03:04,601.0,13.532000,0.150053,4.009000,0.081673
1,10.18_4_with Pb.root,Pb,Pb,2025-10-18 22:47:21,584.0,14.284000,0.156393,4.058000,0.083358
2,10.20_1_with Pb.root,Pb,Pb,2025-10-20 09:28:50,542.0,9.833000,0.134692,3.220000,0.077078
2,10.20_2_with Pb.root,Pb,Pb,2025-10-20 09:49:31,582.0,10.290000,0.132968,3.611000,0.078768
2,10.20_3_with Pb.root,Pb,Pb,2025-10-20 10:04:28,606.0,11.022000,0.134863,3.291000,0.073693
2,10.20_4_with Pb.root,Pb,Pb,2025-10-20 10:18:47,572.0,11.441000,0.141428,3.402000,0.077120
3,10.21_1_with Pb.root,Pb,Pb,2025-10-21 09:04:06,612.0,8.912000,0.120673,2.657000,0.065890
3,10.21_2_with Pb.root,Pb,Pb,2025-10-21 09:19:56,617.0,9.216000,0.122216,3.209000,0.072118
3,10.21_3_with Pb.root,Pb,Pb,2025-10-21 09:33:54,668.0,9.487000,0.119173,2.870000,0.065547
3,10.21_4_with Pb.root,Pb,Pb,2025-10-21 09:49:47,596.0,9.511000,0.126325,2.979000,0.070699
4,10.22_1_with Pb.root,Pb,Pb,2025-10-22 09:04:19,574.0,7.761000,0.116279,2.370000,0.064257
4,10.22_2_with Pb.root,Pb,Pb,2025-10-22 09:17:46,554.0,7.994000,0.120123,2.289000,0.064279
4,10.22_3_with Pb.root,Pb,Pb,2025-10-22 09:31:03,586.0,7.842000,0.115682,2.595000,0.066546
4,10.22_4_with Pb.root,Pb,Pb,2025-10-22 09:43:55,592.0,7.964000,0.115986,2.513000,0.065153
5,10.23_1_with Pb.root,Pb,Pb,2025-10-23 09:03:31,631.0,6.006000,0.097561,1.871000,0.054453
5,10.23_2_with Pb.root,Pb,Pb,2025-10-23 09:18:08,576.0,6.827000,0.108869,2.197000,0.061760
5,10.23_3_with Pb.root,Pb,Pb,2025-10-23 09:44:47,558.0,7.033000,0.112267,2.250000,0.063500
5,10.23_4_with Pb.root,Pb,Pb,2025-10-23 09:31:43,565.0,6.928000,0.110734,1.979000,0.059183
6,10.24_1_with Pb.root,Pb,Pb,2025-10-24 09:03:51,605.0,5.353000,0.094063,1.600000,0.051426
6,10.24_2_with Pb.root,Pb,Pb,2025-10-24 09:17:27,580.0,6.285000,0.104097,1.766000,0.055180
6,10.24_3_with Pb.root,Pb,Pb,2025-10-24 09:30:13,603.0,6.283000,0.102076,1.808000,0.054757
6,10.24_4_with Pb.root,Pb,Pb,2025-10-24 09:43:30,566.0,6.178000,0.104476,2.206000,0.062430
7,10.25_1_with Pb.root,Pb,Pb,2025-10-25 09:05:06,1225.0,4.633000,0.061498,1.447000,0.034369
7,10.25_2_with Pb.root,Pb,Pb,2025-10-25 09:30:03,1185.0,5.069000,0.065404,1.522000,0.035838
