,name,747 kev,633/634 kev
1,10.18_1_with Pb.root,13.375,3.548
1,10.18_2_with Pb.root,14.231,3.864
1,10.18_3_with Pb.root,13.532,4.009
1,10.18_4_with Pb.root,14.284,4.058
1 平均值,,14.0156666666667,3.977
2,10.20_1_with Pb.root,9.833,3.22
2,10.20_2_with Pb.root,10.29,3.611
2,10.20_3_with Pb.root,11.022,3.291
2,10.20_4_with Pb.root,11.441,3.402
2 平均值,,10.6465,3.381
3,10.21_1_with Pb.root,8.912,2.657
3,10.21_2_with Pb.root,9.216,3.209
3,10.21_3_with Pb.root,9.487,2.87
3,10.21_4_with Pb.root,9.511,2.979
3 平均值,,9.2815,2.92875
4,10.22_1_with Pb.root,7.761,2.37
4,10.22_2_with Pb.root,7.994,2.289
4,10.22_3_with Pb.root,7.842,2.595
4,10.22_4_with Pb.root,7.964,2.513
4 平均值,,7.89025,2.44175
5,10.23_1_with Pb.root,6.006,1.871
5,10.23_2_with Pb.root,6.827,2.197
5,10.23_3_with Pb.root,7.033,2.25
5,10.23_4_with Pb.root,6.928,1.979
5 平均值,,6.6985,2.07425
6,10.24_1_with Pb.root,5.353,1.6
6,10.24_2_with Pb.root,6.285,1.766
6,10.24_3_with Pb.root,6.283,1.808
6,10.24_4_with Pb.root,6.178,2.206
6 平均值,,6.02475,1.845
7,10.25_1_with Pb.root,4.633,1.447
7,10.25_2_with Pb.root,5.069,1.522
7,10.25_3_with Pb.root,5.16,1.527
7,10.25_4_with Pb.root,5.384,1.677
7 平均值,,5.0615,1.54325
8,10.26_1_with Pb.root,3.981,1.175
8,10.26_2_with Pb.root,4.502,1.338
8,10.26_3_with Pb.root,4.377,1.502
8,10.26_4_with Pb.root,4.39,1.384
8 平均值,,4.3125,1.34975
9,10.27_1_with Pb.root,3.502,1.133
9,10.27_2_with Pb.root,3.722,1.077
9,10.27_3_with Pb.root,3.917,1.191
9,10.27_4_with Pb.root,3.881,1.015
9 平均值,,3.7555,1.104
10,10.28_1_with Pb.root,2.944,0.94
10,10.28_2_with Pb.root,3.247,0.924
10,10.28_3_with Pb.root,3.105,0.976
10,10.28_4_with Pb.root,3.304,0.986
10 平均值,,3.15,0.9565
11,10.29_1_with Pb.root,2.542,0.791
11,10.29_2_with Pb.root,2.691,0.91
11,10.29_3_with Pb.root,2.689,0.781
11,10.29_4_with Pb.root,2.711,0.795
11 平均值,,2.65825,0.81925
12,10.29_1_with Cu.root,18.964,14.093
12,10.29_2_with Cu.root,20.461,14.688
12,10.29_3_with Cu.root,21.649,14.949
12,10.29_4_with Cu.root,21.204,15.085
12 平均值,,20.5695,14.70375
13,10.30_1_with Cu.root,17.355,11.443
13,10.30_2_with Cu.root,18.402,12.452
13,10.30_3_with Cu.root,17.973,13.095
13,10.30_4_with Cu.root,19.072,12.874
13 平均值,,18.2005,12.466
14,10.30_1_with Pb.root,2.149,0.658
14,10.30_2_with Pb.root,2.286,0.782
14,10.30_3_with Pb.root,2.424,0.756
14,10.30_4_with Pb.root,2.384,0.753
14 平均值,,2.31075,0.73725
15,10.31_1_with Cu.root,14.182,9.493
15,10.31_2_with Cu.root,14.972,10.063
15,10.31_3_with Cu.root,16.091,10.33
15,10.31_4_with Cu.root,16.195,11.239
15 平均值,,15.36,10.28125
16,10.31_1_with Pb.root,1.864,0.567
16,10.31_2_with Pb.root,2.1,0.648
16,10.31_3_with Pb.root,1.93,0.634
16,10.31_4_with Pb.root,1.99,0.643
16 平均值,,1.971,0.623
17,11.01_1_with Cu.root,11.824,8.729
17,11.01_2_with Cu.root,13.746,9.517
17,11.01_3_with Cu.root,13.214,9.479
17,11.01_4_with Cu.root,13.197,9.559
17 平均值,,12.99525,9.321
18,11.02_1_with Cu.root,10.311,7.168
18,11.02_2_with Cu.root,11.975,7.959
18,11.02_4_with Cu.root,11.352,7.941
18 平均值,,11.2126666666667,7.68933333333333
19,11.03_1_with Cu.root,9.008,6.252
19,11.03_2_with Cu.root,9.687,7.162
19,11.03_3_with Cu.root,9.677,6.84
19,11.03_4_with Cu.root,9.657,6.842
19 平均值,,9.50725,6.774
20,11.04_1_with Cu.root,7.659,5.411
20,11.04_2_with Cu.root,8.305,5.82
20,11.04_3_with Cu.root,8.288,5.867
20,11.04_4_with Cu.root,8.647,5.887
