1,10.18,1,10.18_1_with Pb...,54.6,12.8284,3.9068
2,10.20,1,10.20_1_with Pb...,90.8,9.9087,3.1369
3,10.21,1,10.21_1_with Pb...,114.3,8.6642,2.7088
4,10.22,1,10.22_1_with Pb...,138.2,7.3545,2.3584
5,10.23,1,10.23_1_with Pb...,162.2,6.1466,2.0313
6,10.24,1,10.24_1_with Pb...,186.2,5.3934,1.7343
7,10.25,1,10.25_1_with Pb...,210.4,4.7331,1.3617
8,10.26,1,10.26_1_with Pb...,234.7,4.026,1.2574
9,10.27,1,10.27_1_with Pb...,258.9,3.43,1.0961
10,10.28,1,10.28_1_with Pb...,283,2.9168,0.9106
11,10.29,1,10.29_1_with Pb...,307.1,2.4733,0.7817,1
12,10.30,1,10.30_1_with Pb...,332.6,2.0882,0.6271,1
13,10.31,1,10.31_1_with Pb...,354.6,1.816,0.5642,1
14,10.29,1,10.29_1_with Cu...,309.5,18.9639,13.5973,2
15,10.30,1,10.30_1_with Cu...,330.5,16.8138,11.2928,2
16,10.31,1,10.31_1_with Cu...,356.8,14.1151,9.3952,2
17,11.01,1,11.01_1_with Cu...,378.2,12.1197,8.3159
18,11.02,1,11.02_1_with Cu...,402.3,10.1721,7.0918
19,11.03,1,11.03_1_with Cu...,426.3,8.9329,6.047
20,11.04,1,11.04_1_with Cu...,450.3,7.6697,5.2586
21,11.05,1,11.05_1_with Cu...,474.9,6.4846,4.4424
22,11.06,1,11.06_1_with Cu...,498.3,5.675,3.8401
23,11.07,1,11.07_1_with Cu...,522.4,4.7619,3.2945
24,11.08,1,11.08_1_with Cu...,546.4,4.0377,2.7645
25,11.09,1,11.09_1_with Cu...,571.3,3.4249,2.4561
26,11.10,1,11.10_1_with Cu...,594.6,2.9831,1.9694,1
27,11.11,1,11.11_1_with Cu...,620.9,2.5348,1.7397,1
28,11.12,1,11.12_1_with Cu...,647.5,2.0639,1.5058,1
29,11.13,1,11.13_1_with Cu...,669.5,1.7812,1.3068,1
30,11.14,1,11.14_1_with Cu...,690.8,1.43,1.106,1
31,11.15,1,11.15_1_with Cu...,716.7,1.3721,0.9088,1
32,11.10,1,11.10_1_with 12...,598.3,30.126,26.1182,2
33,11.11,1,11.11_1_with 12...,619.2,26.5912,23.2325,2
34,11.12,1,11.12_1_with 12...,645.2,21.6825,19.7189,2
35,11.13,1,11.13_1_with 12...,666.6,18.2986,16.8311,2
36,11.14,1,11.14_1_with 12...,693.3,15.7886,14.5038,2
37,11.15,1,11.15_1_with 12...,714.2,13.7634,11.9937,2
38,11.16,1,11.16_1_with 12...,740.4,11.2845,10.6064
39,11.17,1,11.17_1_with 12...,762.5,9.7047,9.0062
40,11.18,1,11.18_1_with 12...,786.4,8.2238,7.7505
41,11.19,1,11.19_1_with 12...,811,7.2264,6.9067
42,11.20,1,11.20_1_with 12...,834.2,6.5343,5.6943
43,11.21,1,11.21_1_with 12...,858.4,5.5929,4.83
44,11.22,1,11.22_1_with 12...,884.2,4.4079,4.2121
45,11.23,1,11.23_1_with 12...,910.3,3.7534,3.5
46,11.24,1,11.24_1_with 12...,930.5,3.2356,3.1482
47,11.25,1,11.25_1_with 12...,954.6,2.947,2.678,1
48,11.26,1,11.26_1_with 12...,980.4,2.4682,2.1948,1
49,11.27,1,11.27_1_with 12...,1002.7,2.0758,1.9462,1
