1,Time,ln(count_rate),ln(count_rate),Time,ln(count_rate),ln(count_rate),Time,ln(count_rate),ln(count_rate),Time,ln(count_rate),ln(count_rate)
2,h,,,h,,,h,,,h
3,,1-747 kev,1-633/634 kev,,2-747 kev,2-633/634 kev,,3-747 kev,3-633/634 kev,,4-747 kev,4-633/634 kev
4,54.6,8.83141,8.66608,55.7,8.84359,8.65098,56.2,8.86022,8.75171,56,8.88157,8.72049
5,90.8,8.57316,8.44659,91,8.58467,8.49665,91.3,8.60363,8.55152,91.7,8.63181,8.47175
6,114.3,8.43895,8.29986,114.5,8.43266,8.32132,114.8,8.4637,8.42751,115,8.52418,8.36646
7,138.2,8.27506,8.16134,138.5,8.29792,8.11979,138.7,8.31076,8.29847,138.9,8.3586,8.15262
8,162.2,8.09565,8.01203,162.5,8.14098,8.05361,162.9,8.12892,8.15396,162.7,8.17951,8.01853
9,186.2,7.96493,7.85396,186.5,8.01595,7.86701,186.7,8.03401,7.90449,186.9,8.06466,7.9274
10,210.4,7.83433,7.61209,210.8,7.83142,7.64224,211.2,7.84081,7.80141,211.6,7.89211,7.80682
11,234.7,7.67252,7.5324,235.2,7.67613,7.50428,235.7,7.66441,7.6506,236.1,7.70303,7.59788
12,258.9,7.51231,7.39512,259.6,7.51147,7.40783,260.1,7.51168,7.46519,260.7,7.55785,7.38563
13,283,7.35024,7.20971,283.6,7.38143,7.16012,284.3,7.32384,7.3227,284.9,7.42236,7.24852
14,307.1,7.1853,7.05707,307.6,7.21187,7.08723,308.1,7.20032,7.12757,308.7,7.24639,7.06866
15,332.6,7.01605,6.83671,332.1,7.03508,6.95059,331.8,7.0438,6.99263,331.3,7.13216,6.98338
16,354.6,6.87639,6.73101,355.1,6.91382,6.7615,355.6,6.90864,6.84302,356.2,6.95417,6.84583
17,309.5,7.16446,7.06006,309.3,7.19623,7.10618,453.3,6.29208,6.24295,452.1,6.31356,6.21115
18,330.5,7.04412,6.87435,330.3,7.08094,6.93628,477.5,6.12108,6.07243,476.6,6.19633,6.03995
19,356.8,6.86917,6.69039,356.7,6.88361,6.75685,501.6,5.94453,5.91407,500.4,6.02987,5.94099
20,378.2,6.71675,6.56836,378.4,6.78241,6.68736,309.2,7.21278,7.14342,309,7.2363,7.10219
