sheet,time_h,source_row,rate_747_cps,rate_747_err,rate_633_cps,rate_633_err,ln_747_corrected,ln_633_corrected,counts_747_corrected,counts_633_corrected
修正后伽马谱 (1),54.6,2,12.9519,0.0143839899937461,3.9444,0.0357215292566677,8.85955827048409,8.69423677898915,7058.90319331379,5979.00861928624
修正后伽马谱 (1),90.8,3,9.9829,0.0164581434252572,3.1604,0.040279711428933,8.59918940422905,8.47263852937955,5440.77121414868,4790.60410718797
修正后伽马谱 (1),114.3,4,8.722,0.0164182526943362,2.7268,0.0407437289130116,8.46416434437446,8.3250686880196,4753.56925640893,4133.3436525377
修正后伽马谱 (1),138.2,5,7.3955,0.0182137786491786,2.3715,0.0447396162766182,8.29918748208317,8.18546259384861,4030.61470256504,3594.77206688909
修正后伽马谱 (1),162.2,6,6.1763,0.0190890986512961,2.0412,0.0464432686654909,8.11903516162616,8.03547779772079,3366.13962375126,3094.09603328442
修正后伽马谱 (1),186.2,7,5.4153,0.0207006075379019,1.7413,0.0512260954459312,7.98754405553427,7.87657188821631,2951.3877085796,2639.5009909652
修正后伽马谱 (1),210.4,8,4.7509,0.0157022879875392,1.3669,0.0427244129051138,7.85664984873677,7.63448532968958,2589.28367120766,2071.977203555
修正后伽马谱 (1),234.7,9,4.039,0.0157217132953701,1.2614,0.0397177739020136,7.69431291153516,7.55416214276052,2201.29170220542,1912.05797392954
修正后伽马谱 (1),258.9,10,3.4398,0.0156695156695157,1.0992,0.0389374090247453,7.53372910511414,7.41652256999906,1874.72225730285,1666.19163226839
修正后伽马谱 (1),283.0,11,2.9241,0.0155603433535105,0.9129,0.0396538503669624,7.37130251598302,7.23081099410201,1593.6610711609,1383.79397843687
修正后伽马谱 (1),307.1,12,2.4787,0.0183563964981644,0.7833,0.0467253925698966,7.20605000414491,7.07770041290417,1350.91402383178,1187.34343664104
修正后伽马谱 (1),332.6,13,2.0923,0.0209339004922812,0.6284,0.0566518141311267,7.03657971431695,6.85736155491244,1140.32251263293,952.542596176724
修正后伽马谱 (1),354.6,14,1.8191,0.0208894508273322,0.5652,0.0548478414720453,6.89665764823991,6.75136429934135,991.426030077218,856.742640609619
修正后伽马谱 (1),598.3,24,30.3295,0.0127796369870918,26.2947,0.0142462169182383,5.29966831165629,5.15074891958715,200.625685917636,172.764704240767
修正后伽马谱 (1),619.2,25,26.7741,0.0112758225299823,23.3924,0.0124912364699646,5.17498247774323,5.03379270490841,177.107178731182,153.695652260026
修正后伽马谱 (1),645.2,26,21.8042,0.0106722558039277,19.8295,0.0115635795153685,4.96965008720858,4.86855224951612,144.231938570874,130.286244100229
修正后伽马谱 (1),666.6,27,18.4,0.0117065217391304,16.9244,0.0127271867835787,4.79989814003468,4.71013788927701,121.713599659886,111.198795211675
修正后伽马谱 (1),693.3,28,15.863,0.0110823929899767,14.5722,0.0120366176692606,4.65153682884606,4.56049712562814,104.931675619824,95.7440785837944
修正后伽马谱 (1),714.2,29,13.82,0.0144500723589001,12.043,0.0164909075811675,4.51366429375926,4.36986509990238,91.4174971358488,79.1264145691547
修正后伽马谱 (1),740.4,30,11.3293,0.0149965134650861,10.6485,0.0162088557073766,4.3149397656737,4.24680055878945,74.9418415558011,69.9640974457896
修正后伽马谱 (1),762.5,31,9.7385,0.0151563382451096,9.0376,0.0166747809152872,4.16363457710756,4.08277517405462,64.4189070808584,59.3799621614376
修正后伽马谱 (1),786.4,32,8.2508,0.0160590488195084,7.776,0.017554012345679,3.99785764076204,3.93242358878218,54.5779656561839,51.0908411267746
修正后伽马谱 (1),811.0,33,7.2489,0.0166783925837024,6.9282,0.0181288069051124,3.86839720863712,3.81698156082777,47.9505278573122,45.5205202539249
修正后伽马谱 (1),834.2,34,6.553,0.0182969632229513,5.7106,0.0212587118691556,3.7674704354771,3.62370561858068,43.3472401397408,37.520493484897
修正后伽马谱 (1),858.4,35,5.6075,0.0190815871600535,4.8426,0.0221368686242927,3.61165246283196,3.45883328820029,37.0928809833048,31.8174520628239
修正后伽马谱 (1),884.2,36,4.418,0.0214124038026256,4.2218,0.0234733999715761,3.37323458041766,3.32164309901387,29.224493657466,27.7385947876822
修正后伽马谱 (1),910.3,37,3.7619,0.0193253409181531,3.508,0.0217787913340935,3.21247162433975,3.13642759613398,24.8844777478545,23.0486973601756
修正后伽马谱 (1),930.5,38,3.2428,0.0208770198593808,3.1552,0.022946247464503,3.06398462955115,3.03043340705022,21.4506989661455,20.7306869757201
修正后伽马谱 (1),954.6,39,2.9527,0.0212686693534731,2.6833,0.0247456490142735,2.97026748141899,2.868428901949,19.5317253106383,17.6301509767843
修正后伽马谱 (1),980.4,40,2.4731,0.0211071125308318,2.1991,0.025146650902642,2.79301989985801,2.66942970737871,16.3592338760252,14.448799989955
修正后伽马谱 (1),1002.7,41,2.0798,0.0230310606789114,1.9499,0.0264628955331043,2.61981921066373,2.54915961083345,13.7576056832951,12.8114751945856
修正后伽马谱 (1),1029.0,42,1.8686,0.0244568125869635,1.7006,0.0288721627660826,2.51273696279646,2.4123626515936,12.3605452350251,11.1734933667944
修正后伽马谱 (1),1126.1,46,6.0903,0.0192765545211238,5.7703,0.0225638181723654,1.80669734159226,1.75272407223601,,
修正后伽马谱 (1),1147.1,47,5.5021,0.0181203540466367,4.9934,0.021968999078784,1.70512983754623,1.60811704046668,,
修正后伽马谱 (1),1174.0,48,4.4769,0.020192543947821,4.2874,0.024023883938984,1.49893084262339,1.4556804886049,,
修正后伽马谱 (1),1195.3,49,3.8595,0.0248736883015935,3.8353,0.0290981148801919,1.35053764140777,1.34424765861755,,
修正后伽马谱 (1),1220.3,50,3.1959,0.0255952939703996,3.1158,0.0310032736375891,1.16186873830312,1.13648594109619,,
修正后伽马谱 (1),1244.4,51,2.7775,0.0285868586858686,2.6423,0.036142754418499,1.02155124253165,0.971649749994433,,
修正后伽马谱 (1),1268.2,52,2.3256,0.0343137254901961,2.152,0.0444237918215613,0.843978070262529,0.766397642299538,,
修正后伽马谱 (1),1292.4,53,2.0615,0.0281348532621877,1.8548,0.0374703472072461,0.723433873164818,0.617776873535169,,
修正后伽马谱 (1),1316.5,54,1.6233,0.0319719090741083,1.5969,0.0358194000876699,0.484461114334662,0.468064249864684,,
修正后伽马谱 (1),1340.7,55,1.2911,0.0304391604058555,1.5183,0.0300335901995653,0.255494568198536,0.417591287906005,,
修正后伽马谱 (1),1364.9,56,1.069,0.0353601496725912,1.2898,0.0341913474957358,0.0667236320429081,0.25448716759414,,
修正后伽马谱 (1),1389.9,57,0.9145,0.0366320393657737,1.1401,0.0346460836768705,-0.0893778111512167,0.131115977857537,,
修正后伽马谱 (1),1418.8,58,0.7344,0.0412581699346405,0.8747,0.0404710186349606,-0.308701439675856,-0.133874308556328,,
修正后伽马谱 (1),1431.4,59,0.6479,0.0433708905695323,0.8618,0.0394523091204456,-0.434018915526225,-0.148732053800399,,
修正后伽马谱 (1),1467.6,60,0.478,0.0418410041841004,0.6983,0.03465559215237,-0.738144546490681,-0.359106469130147,,
修正后伽马谱 (1),1486.5,61,0.4542,0.0477763099955967,0.5534,0.0464401879291652,-0.789217649310679,-0.591674211629312,,
修正后伽马谱 (1),1515.7,62,0.2864,0.0820530726256983,0.4716,0.0608566581849025,-1.25036584389565,-0.751624110318921,,
修正后伽马谱 (1),1527.0,63,0.2755,0.0889292196007259,0.4166,0.070571291406625,-1.28916765038917,-0.875628750155265,,
修正后伽马谱 (1),1565.8,64,0.1889,0.0847008999470619,0.2685,0.0722532588454376,-1.66653750447467,-1.31490436503322,,
修正后伽马谱 (5),54.6,2,12.9519,0.1863,3.9444,0.1409,2.56124249553021,1.37229685147604,7058.90319331379,5979.00861928624
修正后伽马谱 (5),90.8,3,9.9829,0.1643,3.1604,0.1273,2.30087362927517,1.15069860186644,5440.77121414868,4790.60410718797
修正后伽马谱 (5),114.3,4,8.722,0.1432,2.7268,0.1111,2.16584856942057,1.00312876050649,4753.56925640893,4133.3436525377
修正后伽马谱 (5),138.2,5,7.3955,0.1347,2.3715,0.1061,2.00087170712929,0.863522666335499,4030.61470256504,3594.77206688909
修正后伽马谱 (5),162.2,6,6.1763,0.1179,2.0412,0.0948,1.82071938667228,0.713537870207679,3366.13962375126,3094.09603328442
修正后伽马谱 (5),186.2,7,5.4153,0.1121,1.7413,0.0892,1.68922828058039,0.5546319607032,2951.3877085796,2639.5009909652
修正后伽马谱 (5),210.4,8,4.7509,0.0746,1.3669,0.0584,1.55833407378289,0.31254540217647,2589.28367120766,2071.977203555
修正后伽马谱 (5),234.7,9,4.039,0.0635,1.2614,0.0501,1.39599713658128,0.232222215247414,2201.29170220542,1912.05797392954
修正后伽马谱 (5),258.9,10,3.4398,0.0539,1.0992,0.0428,1.23541333016026,0.0945826424859478,1874.72225730285,1666.19163226839
修正后伽马谱 (5),283.0,11,2.9241,0.0455,0.9129,0.0362,1.07298674102914,-0.0911289334111019,1593.6610711609,1383.79397843687
修正后伽马谱 (5),307.1,12,2.4787,0.0455,0.7833,0.0366,0.907734229191034,-0.244239514608944,1350.91402383178,1187.34343664104
修正后伽马谱 (5),332.6,13,2.0923,0.0438,0.6284,0.0356,0.738263939363068,-0.464578372600671,1140.32251263293,952.542596176724
修正后伽马谱 (5),354.6,14,1.8191,0.038,0.5652,0.031,0.598341873286033,-0.570575628171765,991.426030077218,856.742640609619
修正后伽马谱 (5),598.3,24,30.3295,0.3876,26.2947,0.3746,3.41212083623655,3.2693673979631,200.625685917636,172.764704240767
修正后伽马谱 (5),619.2,25,26.7741,0.3019,23.3924,0.2922,3.28743500232349,3.15241118328437,177.107178731182,153.695652260026
修正后伽马谱 (5),645.2,26,21.8042,0.2327,19.8295,0.2293,3.08210261178884,2.98717072789208,144.231938570874,130.286244100229
修正后伽马谱 (5),666.6,27,18.4,0.2154,16.9244,0.2154,2.91235066461494,2.82875636765297,121.713599659886,111.198795211675
修正后伽马谱 (5),693.3,28,15.863,0.1758,14.5722,0.1754,2.76398935342632,2.67911560400409,104.931675619824,95.7440785837944
修正后伽马谱 (5),714.2,29,13.82,0.1997,12.043,0.1986,2.62611681833952,2.48848357827834,91.4174971358488,79.1264145691547
修正后伽马谱 (5),740.4,30,11.3293,0.1699,10.6485,0.1726,2.42739229025396,2.36541903716541,74.9418415558011,69.9640974457896
修正后伽马谱 (5),762.5,31,9.7385,0.1476,9.0376,0.1507,2.27608710168782,2.20139365243058,64.4189070808584,59.3799621614376
修正后伽马谱 (5),786.4,32,8.2508,0.1325,7.776,0.1365,2.1103101653423,2.05104206715814,54.5779656561839,51.0908411267746
修正后伽马谱 (5),811.0,33,7.2489,0.1209,6.9282,0.1256,1.98084973321738,1.93560003920373,47.9505278573122,45.5205202539249
修正后伽马谱 (5),834.2,34,6.553,0.1199,5.7106,0.1214,1.87992296005736,1.74232409695663,43.3472401397408,37.520493484897
修正后伽马谱 (5),858.4,35,5.6075,0.107,4.8426,0.1072,1.72410498741223,1.57745176657624,37.0928809833048,31.8174520628239
修正后伽马谱 (5),884.2,36,4.418,0.0946,4.2218,0.0991,1.48568710499793,1.44026157738983,29.224493657466,27.7385947876822
修正后伽马谱 (5),910.3,37,3.7619,0.0727,3.508,0.0764,1.32492414892001,1.25504607450994,24.8844777478545,23.0486973601756
修正后伽马谱 (5),930.5,38,3.2428,0.0677,3.1552,0.0724,1.17643715413142,1.14905188542618,21.4506989661455,20.7306869757201
修正后伽马谱 (5),954.6,39,2.9527,0.0628,2.6833,0.0664,1.08272000599925,0.987047380324956,19.5317253106383,17.6301509767843
修正后伽马谱 (5),980.4,40,2.4731,0.0522,2.1991,0.0553,0.905472424438276,0.788048185754665,16.3592338760252,14.448799989955
修正后伽马谱 (5),1002.7,41,2.0798,0.0479,1.9499,0.0516,0.732271735243995,0.667778089209404,13.7576056832951,12.8114751945856
修正后伽马谱 (5),1029.0,42,1.8686,0.0457,1.7006,0.0491,0.625189487376718,0.530981129969555,12.3605452350251,11.1734933667944
修正后伽马谱 (5),1126.1,46,6.0903,0.1174,5.7703,0.1302,1.80669734159226,1.75272407223601,,
修正后伽马谱 (5),1147.1,47,5.5021,0.0997,4.9934,0.1097,1.70512983754623,1.60811704046668,,
修正后伽马谱 (5),1174.0,48,4.4769,0.0904,4.2874,0.103,1.49893084262339,1.4556804886049,,
修正后伽马谱 (5),1195.3,49,3.8595,0.096,3.8353,0.1116,1.35053764140777,1.34424765861755,,
修正后伽马谱 (5),1220.3,50,3.1959,0.0818,3.1158,0.0966,1.16186873830312,1.13648594109619,,
修正后伽马谱 (5),1244.4,51,2.7775,0.0794,2.6423,0.0955,1.02155124253165,0.971649749994433,,
修正后伽马谱 (5),1268.2,52,2.3256,0.0798,2.152,0.0956,0.843978070262529,0.766397642299538,,
修正后伽马谱 (5),1292.4,53,2.0615,0.058,1.8548,0.0695,0.723433873164818,0.617776873535169,,
修正后伽马谱 (5),1316.5,54,1.6233,0.0519,1.5969,0.0572,0.484461114334662,0.468064249864684,,
修正后伽马谱 (5),1340.7,55,1.2911,0.0393,1.5183,0.0456,0.255494568198536,0.417591287906005,,
修正后伽马谱 (5),1364.9,56,1.069,0.0378,1.2898,0.0441,0.0667236320429081,0.25448716759414,,
修正后伽马谱 (5),1389.9,57,0.9145,0.0335,1.1401,0.0395,-0.0893778111512167,0.131115977857537,,
修正后伽马谱 (5),1418.8,58,0.7344,0.0303,0.8747,0.0354,-0.308701439675856,-0.133874308556328,,
修正后伽马谱 (5),1431.4,59,0.6479,0.0281,0.8618,0.034,-0.434018915526225,-0.148732053800399,,
修正后伽马谱 (5),1467.6,60,0.478,0.02,0.6983,0.0242,-0.738144546490681,-0.359106469130147,,
修正后伽马谱 (5),1486.5,61,0.4542,0.0217,0.5534,0.0257,-0.789217649310679,-0.591674211629312,,
修正后伽马谱 (5),1515.7,62,0.2864,0.0235,0.4716,0.0287,-1.25036584389565,-0.751624110318921,,
修正后伽马谱 (5),1527.0,63,0.2755,0.0245,0.4166,0.0294,-1.28916765038917,-0.875628750155265,,
修正后伽马谱 (5),1565.8,64,0.1889,0.016,0.2685,0.0194,-1.66653750447467,-1.31490436503322,,
修正后伽马谱 (2),55.7,2,13.8123,,4.043,,8.84358986878578,8.6509791650019,6939.36305188116,5726.47703583646
修正后伽马谱 (2),91.0,3,10.6615,,3.4648,,8.58466949103479,8.49664708526155,5356.38663927304,4907.51858366712
修正后伽马谱 (2),114.5,4,9.158,,2.9076,,8.43265818348555,8.32132017297161,4601.02132368452,4118.30438520853
修正后伽马谱 (2),138.5,5,8.0036,,2.3769,,8.29792180971084,8.11978929200044,4021.04545383724,3366.62460214684
修正后伽马谱 (2),162.5,6,6.8411,,2.2247,,8.14097890666861,8.05361424941022,3437.00010673271,3151.04958239559
修正后伽马谱 (2),186.5,7,6.0371,,1.846,,8.01595413344654,7.86701331042393,3033.06680860622,2614.66154047838
修正后伽马谱 (2),210.8,8,5.0198,,1.4744,,7.83142046152317,7.64224330171675,2521.9706093723,2088.32988910148
修正后伽马谱 (2),235.2,9,4.2978,,1.2844,,7.67613363311697,7.50428385757649,2159.23448841792,1819.21521267088
修正后伽马谱 (2),259.6,10,3.6453,,1.1663,,7.51146903585118,7.40782851905814,1831.4154871399,1651.93919537375
修正后伽马谱 (2),283.6,11,3.2008,,0.9104,,7.38143114781153,7.1601209587332,1608.09664259111,1289.48421801274
修正后伽马谱 (2),307.6,12,2.7016,,0.8464,,7.21187455933986,7.08722895646517,1357.29626644094,1198.83506384664
修正后伽马谱 (2),332.1,13,2.2638,,0.7383,,7.03507518646683,6.95058714142625,1137.34353270987,1045.72297688797
修正后伽马谱 (2),355.1,14,2.0053,,0.6111,,6.91382404475149,6.761497507262,1007.47194369781,865.55778298285
修正后伽马谱 (2),598.4,24,32.3661,,28.1956,,5.33395251829245,5.23926164914417,207.394799249783,188.774649712057
修正后伽马谱 (2),619.3,25,28.517,,24.56,,5.20734134021303,5.10121481502153,182.730619080027,164.433649112915
修正后伽马谱 (2),645.4,26,23.144,,20.9589,,4.99857650721437,4.94265908890223,148.301625275735,140.323632263546
修正后伽马谱 (2),666.8,27,19.6393,,18.8048,,4.83437360028382,4.83420786813904,125.844284016494,125.901542542286
修正后伽马谱 (2),693.1,28,17.3286,,15.3862,,4.70919925523848,4.63356671552495,111.037830269318,103.013396253304
修正后伽马谱 (2),714.3,29,15.2722,,13.4048,,4.58287512173994,4.49570856351317,97.8608745910855,89.7475643171339
修正后伽马谱 (2),740.6,30,12.2672,,11.5758,,4.36376997336303,4.34901242379743,78.6055002412072,77.5020779886517
修正后伽马谱 (2),762.7,31,10.075,,10.0367,,4.16689804737328,4.20634408671837,64.5583682446004,67.197524676368
修正后伽马谱 (2),786.5,32,8.6074,,8.618,,4.0094632379284,4.05394875093623,55.1543125388162,57.6990711748821
修正后伽马谱 (2),811.2,33,7.7866,,7.426,,3.90924524715197,3.90508306749748,49.8948079576581,49.7184152407374
修正后伽马谱 (2),834.3,34,6.9594,,6.0055,,3.79693420327428,3.692771427755,44.5942935941908,40.2079104131764
修正后伽马谱 (2),858.5,35,5.9171,,5.2688,,3.63468740354859,3.56189834438255,37.9154660784243,35.2755704579042
修正后伽马谱 (2),884.4,36,4.8827,,4.3354,,3.4425392850919,3.36690958992127,31.2872600126958,29.0262883698751
修正后伽马谱 (2),910.6,37,4.2913,,3.8844,,3.31343065687908,3.25706424348065,27.497699816184,26.0067616699596
修正后伽马谱 (2),930.8,38,3.7597,,3.3931,,3.18118010652513,3.12183966955364,24.091324773124,22.717419169586
修正后伽马谱 (2),954.9,39,3.0885,,2.9233,,2.98452647569435,2.97280882688501,19.790423853444,19.5720230639978
修正后伽马谱 (2),980.1,40,2.7037,,2.3946,,2.85146214482065,2.77331191404319,17.3247106921018,16.0322807885092
修正后伽马谱 (2),1003.1,41,2.2371,,2.1265,,2.66202132377626,2.65457314745414,14.3348412506199,14.237302721442
修正后伽马谱 (2),1028.6,42,1.9427,,1.7777,,2.52091969760313,2.47541610568909,12.4483912643956,11.9020235353432
修正后伽马谱 (2),1125.9,46,6.4235,,6.514,,1.85996314048953,1.87395370685404,,
修正后伽马谱 (2),1147.3,47,5.6945,,5.3442,,1.73950079673227,1.67601186068374,,
修正后伽马谱 (2),1173.7,48,4.4758,,4.7954,,1.49868510669892,1.56765712508553,,
修正后伽马谱 (2),1195.6,49,4.0927,,4.0673,,1.40920489895299,1.40297938865016,,
修正后伽马谱 (2),1220.5,50,3.5148,,3.4455,,1.25698262463955,1.23706903181513,,
修正后伽马谱 (2),1244.7,51,2.9549,,2.7083,,1.0834648093379,0.996321131779644,,
修正后伽马谱 (2),1268.5,52,2.4387,,2.3298,,0.891465110438499,0.84578242698354,,
修正后伽马谱 (2),1293.2,53,2.0991,,1.9721,,0.741508681437824,0.679098964833886,,
修正后伽马谱 (2),1316.2,54,1.7526,,1.717,,0.561100399639613,0.540578581915339,,
修正后伽马谱 (2),1341.4,55,1.4016,,1.6834,,0.33761444119999,0.520815557795339,,
修正后伽马谱 (2),1365.3,56,1.2206,,1.4328,,0.199342541128257,0.359630571764365,,
修正后伽马谱 (2),1390.4,57,1.0252,,1.1128,,0.0248877155077789,0.106879361627096,,
修正后伽马谱 (2),1419.4,58,0.7897,,0.9273,,-0.236102152478602,-0.0754781411759567,,
修正后伽马谱 (2),1432.0,59,0.7188,,0.8637,,-0.330172124072733,-0.146529792695897,,
修正后伽马谱 (2),1468.2,60,0.5559,,0.7183,,-0.587166857022713,-0.330867969901381,,
修正后伽马谱 (2),1487.1,61,0.4384,,0.6703,,-0.824623543348331,-0.400029905618225,,
修正后伽马谱 (2),1516.7,62,0.3426,,0.4989,,-1.07119169309212,-0.695349604115145,,
