date,chamber,file,file_as_shown,time_h,rate_747_cps,rate_633_cps,tag_raw,campaign,source_row
10.18,1,10.18_1_with Pb,10.18_1_with Pb...,54.6,12.8284,3.9068,Pb,Pb,1
10.20,1,10.20_1_with Pb,10.20_1_with Pb...,90.8,9.9087,3.1369,Pb,Pb,2
10.21,1,10.21_1_with Pb,10.21_1_with Pb...,114.3,8.6642,2.7088,Pb,Pb,3
10.22,1,10.22_1_with Pb,10.22_1_with Pb...,138.2,7.3545,2.3584,Pb,Pb,4
10.23,1,10.23_1_with Pb,10.23_1_with Pb...,162.2,6.1466,2.0313,Pb,Pb,5
10.24,1,10.24_1_with Pb,10.24_1_with Pb...,186.2,5.3934,1.7343,Pb,Pb,6
10.25,1,10.25_1_with Pb,10.25_1_with Pb...,210.4,4.7331,1.3617,Pb,Pb,7
10.26,1,10.26_1_with Pb,10.26_1_with Pb...,234.7,4.026,1.2574,Pb,Pb,8
10.27,1,10.27_1_with Pb,10.27_1_with Pb...,258.9,3.43,1.0961,Pb,Pb,9
10.28,1,10.28_1_with Pb,10.28_1_with Pb...,283.0,2.9168,0.9106,Pb,Pb,10
10.29,1,10.29_1_with Pb,10.29_1_with Pb...,307.1,2.4733,0.7817,Pb,Pb,11
10.30,1,10.30_1_with Pb,10.30_1_with Pb...,332.6,2.0882,0.6271,Pb,Pb,12
10.31,1,10.31_1_with Pb,10.31_1_with Pb...,354.6,1.816,0.5642,Pb,Pb,13
10.29,1,10.29_1_with Cu,10.29_1_with Cu...,309.5,18.9639,13.5973,Cu,Cu,14
10.30,1,10.30_1_with Cu,10.30_1_with Cu...,330.5,16.8138,11.2928,Cu,Cu,15
10.31,1,10.31_1_with Cu,10.31_1_with Cu...,356.8,14.1151,9.3952,Cu,Cu,16
11.01,1,11.01_1_with Cu,11.01_1_with Cu...,378.2,12.1197,8.3159,Cu,Cu,17
11.02,1,11.02_1_with Cu,11.02_1_with Cu...,402.3,10.1721,7.0918,Cu,Cu,18
11.03,1,11.03_1_with Cu,11.03_1_with Cu...,426.3,8.9329,6.047,Cu,Cu,19
11.04,1,11.04_1_with Cu,11.04_1_with Cu...,450.3,7.6697,5.2586,Cu,Cu,20
11.05,1,11.05_1_with Cu,11.05_1_with Cu...,474.9,6.4846,4.4424,Cu,Cu,21
11.06,1,11.06_1_with Cu,11.06_1_with Cu...,498.3,5.675,3.8401,Cu,Cu,22
11.07,1,11.07_1_with Cu,11.07_1_with Cu...,522.4,4.7619,3.2945,Cu,Cu,23
11.08,1,11.08_1_with Cu,11.08_1_with Cu...,546.4,4.0377,2.7645,Cu,Cu,24
11.09,1,11.09_1_with Cu,11.09_1_with Cu...,571.3,3.4249,2.4561,Cu,Cu,25
11.10,1,11.10_1_with Cu,11.10_1_with Cu...,594.6,2.9831,1.9694,Cu,Cu,26
11.11,1,11.11_1_with Cu,11.11_1_with Cu...,620.9,2.5348,1.7397,Cu,Cu,27
11.12,1,11.12_1_with Cu,11.12_1_with Cu...,647.5,2.0639,1.5058,Cu,Cu,28
