series,peak,time_h,ln_count_rate,source_row
chamber1,747keV,54.6,8.83141,4
chamber1,633keV,54.6,8.66608,4
chamber2,747keV,55.7,8.84359,4
chamber2,633keV,55.7,8.65098,4
chamber3,747keV,56.2,8.86022,4
chamber3,633keV,56.2,8.75171,4
chamber4,747keV,56.0,8.88157,4
chamber4,633keV,56.0,8.72049,4
chamber1,747keV,90.8,8.57316,5
chamber1,633keV,90.8,8.44659,5
chamber2,747keV,91.0,8.58467,5
chamber2,633keV,91.0,8.49665,5
chamber3,747keV,91.3,8.60363,5
chamber3,633keV,91.3,8.55152,5
chamber4,747keV,91.7,8.63181,5
chamber4,633keV,91.7,8.47175,5
chamber1,747keV,114.3,8.43895,6
chamber1,633keV,114.3,8.29986,6
chamber2,747keV,114.5,8.43266,6
chamber2,633keV,114.5,8.32132,6
chamber3,747keV,114.8,8.4637,6
chamber3,633keV,114.8,8.42751,6
chamber4,747keV,115.0,8.52418,6
chamber4,633keV,115.0,8.36646,6
chamber1,747keV,138.2,8.27506,7
chamber1,633keV,138.2,8.16134,7
chamber2,747keV,138.5,8.29792,7
chamber2,633keV,138.5,8.11979,7
chamber3,747keV,138.7,8.31076,7
chamber3,633keV,138.7,8.29847,7
chamber4,747keV,138.9,8.3586,7
chamber4,633keV,138.9,8.15262,7
chamber1,747keV,162.2,8.09565,8
chamber1,633keV,162.2,8.01203,8
chamber2,747keV,162.5,8.14098,8
chamber2,633keV,162.5,8.05361,8
chamber3,747keV,162.9,8.12892,8
chamber3,633keV,162.9,8.15396,8
chamber4,747keV,162.7,8.17951,8
chamber4,633keV,162.7,8.01853,8
chamber1,747keV,186.2,7.96493,9
chamber1,633keV,186.2,7.85396,9
chamber2,747keV,186.5,8.01595,9
chamber2,633keV,186.5,7.86701,9
chamber3,747keV,186.7,8.03401,9
chamber3,633keV,186.7,7.90449,9
chamber4,747keV,186.9,8.06466,9
chamber4,633keV,186.9,7.9274,9
chamber1,747keV,210.4,7.83433,10
chamber1,633keV,210.4,7.61209,10
chamber2,747keV,210.8,7.83142,10
chamber2,633keV,210.8,7.64224,10
chamber3,747keV,211.2,7.84081,10
chamber3,633keV,211.2,7.80141,10
chamber4,747keV,211.6,7.89211,10
chamber4,633keV,211.6,7.80682,10
chamber1,747keV,234.7,7.67252,11
chamber1,633keV,234.7,7.5324,11
chamber2,747keV,235.2,7.67613,11
chamber2,633keV,235.2,7.50428,11
chamber3,747keV,235.7,7.66441,11
chamber3,633keV,235.7,7.6506,11
chamber4,747keV,236.1,7.70303,11
chamber4,633keV,236.1,7.59788,11
chamber1,747keV,258.9,7.51231,12
chamber1,633keV,258.9,7.39512,12
chamber2,747keV,259.6,7.51147,12
chamber2,633keV,259.6,7.40783,12
chamber3,747keV,260.1,7.51168,12
chamber3,633keV,260.1,7.46519,12
chamber4,747keV,260.7,7.55785,12
chamber4,633keV,260.7,7.38563,12
chamber1,747keV,283.0,7.35024,13
chamber1,633keV,283.0,7.20971,13
chamber2,747keV,283.6,7.38143,13
chamber2,633keV,283.6,7.16012,13
chamber3,747keV,284.3,7.32384,13
chamber3,633keV,284.3,7.3227,13
chamber4,747keV,284.9,7.42236,13
chamber4,633keV,284.9,7.24852,13
chamber1,747keV,307.1,7.1853,14
chamber1,633keV,307.1,7.05707,14
chamber2,747keV,307.6,7.21187,14
chamber2,633keV,307.6,7.08723,14
chamber3,747keV,308.1,7.20032,14
chamber3,633keV,308.1,7.12757,14
chamber4,747keV,308.7,7.24639,14
chamber4,633keV,308.7,7.06866,14
chamber1,747keV,332.6,7.01605,15
chamber1,633keV,332.6,6.83671,15
chamber2,747keV,332.1,7.03508,15
chamber2,633keV,332.1,6.95059,15
chamber3,747keV,331.8,7.0438,15
chamber3,633keV,331.8,6.99263,15
chamber4,747keV,331.3,7.13216,15
chamber4,633keV,331.3,6.98338,15
chamber1,747keV,354.6,6.87639,16
chamber1,633keV,354.6,6.73101,16
chamber2,747keV,355.1,6.91382,16
chamber2,633keV,355.1,6.7615,16
chamber3,747keV,355.6,6.90864,16
chamber3,633keV,355.6,6.84302,16
chamber4,747keV,356.2,6.95417,16
chamber4,633keV,356.2,6.84583,16
chamber1,747keV,309.5,7.16446,17
chamber1,633keV,309.5,7.06006,17
chamber2,747keV,309.3,7.19623,17
chamber2,633keV,309.3,7.10618,17
chamber3,747keV,453.3,6.29208,17
chamber3,633keV,453.3,6.24295,17
chamber4,747keV,452.1,6.31356,17
chamber4,633keV,452.1,6.21115,17
chamber1,747keV,330.5,7.04412,18
chamber1,633keV,330.5,6.87435,18
chamber2,747keV,330.3,7.08094,18
chamber2,633keV,330.3,6.93628,18
chamber3,747keV,477.5,6.12108,18
chamber3,633keV,477.5,6.07243,18
chamber4,747keV,476.6,6.19633,18
chamber4,633keV,476.6,6.03995,18
chamber1,747keV,356.8,6.86917,19
chamber1,633keV,356.8,6.69039,19
chamber2,747keV,356.7,6.88361,19
chamber2,633keV,356.7,6.75685,19
chamber3,747keV,501.6,5.94453,19
chamber3,633keV,501.6,5.91407,19
chamber4,747keV,500.4,6.02987,19
chamber4,633keV,500.4,5.94099,19
chamber1,747keV,378.2,6.71675,20
chamber1,633keV,378.2,6.56836,20
chamber2,747keV,378.4,6.78241,20
chamber2,633keV,378.4,6.68736,20
chamber3,747keV,309.2,7.21278,20
chamber3,633keV,309.2,7.14342,20
chamber4,747keV,309.0,7.2363,20
chamber4,633keV,309.0,7.10219,20
chamber1,747keV,402.3,6.54157,21
chamber1,633keV,402.3,6.40913,21
chamber2,747keV,402.5,6.63177,21
chamber2,633keV,402.5,6.49077,21
chamber3,747keV,330.6,7.04541,21
chamber3,633keV,330.6,7.0188,21
chamber4,747keV,330.7,7.12879,21
chamber4,633keV,330.7,6.98966,21
chamber1,747keV,426.3,6.41166,22
chamber1,633keV,426.3,6.24975,22
chamber2,747keV,426.5,6.4478,22
chamber2,633keV,426.5,6.36309,22
chamber3,747keV,356.5,6.89458,22
chamber3,633keV,356.5,6.80101,22
chamber4,747keV,356.4,6.96763,22
chamber4,633keV,356.4,6.80602,22
chamber1,747keV,450.3,6.2592,23
chamber1,633keV,450.3,6.11005,23
chamber2,747keV,450.6,6.2993,23
chamber2,633keV,450.6,6.18025,23
chamber3,747keV,378.6,6.74382,23
chamber3,633keV,378.6,6.69126,23
chamber4,747keV,378.8,6.79547,23
chamber4,633keV,378.8,6.66155,23
chamber1,747keV,474.9,6.09135,24
chamber1,633keV,474.9,5.94138,24
chamber2,747keV,475.2,6.15064,24
chamber2,633keV,475.2,6.00228,24
chamber3,747keV,426.7,6.44384,24
chamber3,633keV,426.7,6.36828,24
chamber4,747keV,402.8,6.64104,24
chamber4,633keV,402.8,6.4754,24
chamber1,747keV,498.3,5.95799,25
chamber1,633keV,498.3,5.79568,25
chamber2,747keV,498.7,5.97471,25
chamber2,633keV,498.7,5.84477,25
chamber3,747keV,426.5,6.42468,25
chamber3,633keV,426.5,6.38254,25
chamber4,747keV,426.9,6.49344,25
chamber4,633keV,426.9,6.33932,25
chamber1,747keV,522.4,5.78257,26
chamber1,633keV,522.4,5.64244,26
chamber2,747keV,522.8,5.81958,26
chamber2,633keV,522.8,5.70912,26
chamber3,747keV,450.8,6.2946,26
chamber3,633keV,450.8,6.2119,26
chamber4,747keV,451.0,6.33795,26
chamber4,633keV,451.0,6.18377,26
chamber1,747keV,546.4,5.6176,27
chamber1,633keV,546.4,5.46705,27
chamber2,747keV,546.9,5.67667,27
chamber2,633keV,546.9,5.55621,27
chamber3,747keV,475.4,6.14091,27
chamber3,633keV,475.4,6.0223,27
chamber4,747keV,475.7,6.19198,27
chamber4,633keV,475.7,6.03063,27
chamber1,747keV,571.3,5.45299,28
chamber1,633keV,571.3,5.34876,28
chamber2,747keV,571.9,5.48991,28
chamber2,633keV,571.9,5.37684,28
chamber3,747keV,499.0,5.99007,28
chamber3,633keV,499.0,5.94757,28
chamber4,747keV,499.3,6.06435,28
chamber4,633keV,499.3,5.86174,28
chamber1,747keV,594.6,5.31488,29
chamber1,633keV,594.6,5.12792,29
chamber2,747keV,595.2,5.3603,29
chamber2,633keV,595.2,5.25704,29
chamber3,747keV,523.1,5.81086,29
chamber3,633keV,523.1,5.72661,29
chamber4,747keV,523.5,5.85037,29
chamber4,633keV,523.5,5.69663,29
chamber1,747keV,620.9,5.15203,30
chamber1,633keV,620.9,5.0039,30
chamber2,747keV,619.8,5.20223,30
chamber2,633keV,619.8,5.09576,30
chamber3,747keV,547.3,5.66493,30
chamber3,633keV,547.3,5.57218,30
chamber4,747keV,547.8,5.72758,30
chamber4,633keV,547.8,5.56796,30
chamber1,747keV,647.5,4.94652,31
chamber1,633keV,647.5,4.85951,31
chamber2,747keV,647.0,5.00013,31
chamber2,633keV,647.0,4.95926,31
chamber3,747keV,572.4,5.48431,31
chamber3,633keV,572.4,5.41274,31
chamber4,747keV,572.8,5.54625,31
chamber4,633keV,572.8,5.39629,31
chamber1,747keV,669.5,4.79921,32
chamber1,633keV,669.5,4.71777,32
chamber2,747keV,668.6,4.84674,32
chamber2,633keV,668.6,4.77628,32
chamber3,747keV,595.7,5.35139,32
chamber3,633keV,595.7,5.25559,32
chamber4,747keV,596.2,5.39217,32
chamber4,633keV,596.2,5.24981,32
chamber1,747keV,690.8,4.57959,33
chamber1,633keV,690.8,4.55094,33
chamber2,747keV,691.3,4.6778,33
chamber2,633keV,691.3,4.6216,33
chamber3,747keV,620.4,5.18053,33
chamber3,633keV,620.4,5.09878,33
chamber4,747keV,621.6,5.25218,33
chamber4,633keV,621.6,5.07202,33
chamber1,747keV,716.7,4.53826,34
chamber1,633keV,716.7,4.35456,34
chamber2,747keV,716.2,4.57912,34
chamber2,633keV,716.2,4.53668,34
chamber3,747keV,646.6,4.99713,34
chamber3,633keV,646.6,4.94847,34
chamber4,747keV,646.3,5.03013,34
chamber4,633keV,646.3,4.96053,34
chamber1,747keV,598.3,5.28537,35
chamber1,633keV,598.3,5.13643,35
chamber2,747keV,598.4,5.33395,35
chamber2,633keV,598.4,5.23926,35
chamber3,747keV,668.1,4.83514,35
chamber3,633keV,668.1,4.81558,35
chamber4,747keV,667.5,4.90703,35
chamber4,633keV,667.5,4.82223,35
chamber1,747keV,619.2,5.16056,36
chamber1,633keV,619.2,5.01935,36
chamber2,747keV,619.3,5.20734,36
chamber2,633keV,619.3,5.10121,36
chamber3,747keV,691.9,4.67369,36
chamber3,633keV,691.9,4.6392,36
chamber4,747keV,692.5,4.78791,36
chamber4,633keV,692.5,4.65399,36
chamber1,747keV,645.2,4.95649,37
chamber1,633keV,645.2,4.85538,37
chamber2,747keV,645.4,4.99858,37
chamber2,633keV,645.4,4.94266,37
chamber3,747keV,715.7,4.56371,37
chamber3,633keV,715.7,4.56408,37
chamber4,747keV,715.2,4.58482,37
chamber4,633keV,715.2,4.47292,37
chamber1,747keV,666.6,4.78681,38
chamber1,633keV,666.6,4.69703,38
chamber2,747keV,666.8,4.83437,38
chamber2,633keV,666.8,4.83421,38
chamber3,747keV,598.4,5.33768,38
chamber3,633keV,598.4,5.26252,38
chamber4,747keV,598.5,5.36888,38
chamber4,633keV,598.5,5.24961,38
chamber1,747keV,693.3,4.63927,39
chamber1,633keV,693.3,4.54821,39
chamber2,747keV,693.1,4.7092,39
chamber2,633keV,693.1,4.63357,39
chamber3,747keV,619.0,5.18993,39
chamber3,633keV,619.0,5.12078,39
chamber4,747keV,619.1,5.27047,39
chamber4,633keV,619.1,5.10595,39
chamber1,747keV,714.2,4.502,40
chamber1,633keV,714.2,4.35818,40
chamber2,747keV,714.3,4.58288,40
chamber2,633keV,714.3,4.49571,40
chamber3,747keV,645.6,4.99696,40
chamber3,633keV,645.6,4.94804,40
chamber4,747keV,645.7,5.06382,40
chamber4,633keV,645.7,4.93615,40
chamber1,747keV,740.4,4.30341,41
chamber1,633keV,740.4,4.23526,41
chamber2,747keV,740.6,4.36377,41
chamber2,633keV,740.6,4.34901,41
chamber3,747keV,666.4,4.83865,41
chamber3,633keV,666.4,4.81838,41
chamber4,747keV,666.9,4.89228,41
chamber4,633keV,666.9,4.81308,41
chamber1,747keV,762.5,4.15259,42
chamber1,633keV,762.5,4.07171,42
chamber2,747keV,762.7,4.1669,42
chamber2,633keV,762.7,4.20634,42
chamber3,747keV,692.9,4.6766,42
chamber3,633keV,692.9,4.66271,42
chamber4,747keV,692.7,4.75183,42
chamber4,633keV,692.7,4.63218,42
chamber1,747keV,786.4,3.98702,43
chamber1,633keV,786.4,3.92156,43
chamber2,747keV,786.5,4.00946,43
chamber2,633keV,786.5,4.05395,43
chamber3,747keV,714.5,4.56176,43
chamber3,633keV,714.5,4.50927,43
chamber4,747keV,714.6,4.60696,43
chamber4,633keV,714.6,4.49451,43
chamber1,747keV,811.0,3.85772,44
chamber1,633keV,811.0,3.80629,44
chamber2,747keV,811.2,3.90925,44
chamber2,633keV,811.2,3.90508,44
chamber3,747keV,740.8,4.35742,44
chamber3,633keV,740.8,4.33958,44
chamber4,747keV,741.0,4.40266,44
chamber4,633keV,741.0,4.33675,44
chamber1,747keV,834.2,3.75705,45
chamber1,633keV,834.2,3.61327,45
chamber2,747keV,834.3,3.79693,45
chamber2,633keV,834.3,3.69277,45
chamber3,747keV,762.9,4.13377,45
chamber3,633keV,762.9,4.21808,45
chamber4,747keV,763.0,4.19524,45
chamber4,633keV,763.0,4.17728,45
chamber1,747keV,858.4,3.60148,46
chamber1,633keV,858.4,3.44865,46
chamber2,747keV,858.5,3.63469,46
chamber2,633keV,858.5,3.5619,46
chamber3,747keV,786.7,4.04139,46
chamber3,633keV,786.7,4.01884,46
chamber4,747keV,786.8,4.09086,46
chamber4,633keV,786.8,4.03927,46
chamber1,747keV,884.2,3.36338,47
chamber1,633keV,884.2,3.31176,47
chamber2,747keV,884.4,3.44254,47
chamber2,633keV,884.4,3.36691,47
chamber3,747keV,811.4,3.88847,47
chamber3,633keV,811.4,3.87438,47
chamber4,747keV,811.6,3.98801,47
chamber4,633keV,811.6,3.87751,47
chamber1,747keV,910.3,3.20265,48
chamber1,633keV,910.3,3.12656,48
chamber2,747keV,910.6,3.31343,48
chamber2,633keV,910.6,3.25706,48
chamber3,747keV,834.5,3.77876,48
chamber3,633keV,834.5,3.75936,48
chamber4,747keV,834.7,3.83221,48
chamber4,633keV,834.7,3.69603,48
chamber1,747keV,930.5,3.0542,49
chamber1,633keV,930.5,3.02063,49
chamber2,747keV,930.8,3.18118,49
chamber2,633keV,930.8,3.12184,49
chamber3,747keV,858.7,3.61607,49
chamber3,633keV,858.7,3.56133,49
chamber4,747keV,858.9,3.67564,49
chamber4,633keV,858.9,3.55475,49
chamber1,747keV,954.6,2.96077,50
chamber1,633keV,954.6,2.85887,50
chamber2,747keV,954.9,2.98453,50
chamber2,633keV,954.9,2.97281,50
