source,run,file,size_kb,daq_time_raw,n_branches,n_entries,branch_prefix
alpha_2026,1,2026_146Sm1.root,21735.4,2009-01-05 04:27:42,128,158823,adc0ch...
alpha_2026,10,2026_146Sm10.root,0.4,,0,0,
alpha_2026,105,2026_146Sm105.root,14.2,2009-01-01 05:33:59,4,463,adc4ch...
alpha_2026,106,2026_146Sm106.root,2684.7,2009-01-01 05:34:54,4,385831,adc4ch...
alpha_2026,107,2026_146Sm107.root,378.0,2009-01-01 05:36:12,4,99396,adc4ch...
alpha_2026,108,2026_146Sm108.root,50.7,2009-01-01 05:36:44,4,9754,adc4ch...
alpha_2026,109,2026_146Sm109.root,41.5,2009-01-01 05:38:25,4,7515,adc4ch...
alpha_2026,11,2026_146Sm11.root,0.4,,0,0,
alpha_2026,110,2026_146Sm110.root,42.6,2009-01-01 05:38:39,4,7787,adc4ch...
alpha_2026,111,2026_146Sm111.root,44.0,2009-01-01 06:08:43,4,8052,adc4ch...
alpha_2026,12,2026_146Sm12.root,1271.1,2009-01-01 01:02:52,144,8912,adc0ch...
alpha_2026,13,2026_146Sm13.root,1524.4,2009-01-01 01:03:36,144,9798,adc0ch...
alpha_2026,14,2026_146Sm14.root,2549.8,2009-01-05 20:23:31,144,16972,adc0ch...
alpha_2026,15,2026_146Sm15.root,673.0,2009-01-05 20:24:13,144,3934,adc0ch...
alpha_2026,17,2026_146Sm17.root,3566.9,2009-01-05 20:24:53,144,23991,adc0ch...
alpha_2026,18,2026_146Sm18.root,2675.2,2009-01-22 19:57:56,144,17987,adc0ch...
alpha_2026,19,2026_146Sm19.root,935.3,2009-01-22 19:58:27,144,5821,adc0ch...
alpha_2026,2,2026_146Sm2.root,24546.6,2009-01-05 04:28:40,128,182988,adc0ch...
alpha_2026,20,2026_146Sm20.root,1058.8,2009-01-22 19:58:58,144,6544,adc0ch...
alpha_2026,21,2026_146Sm21.root,180.7,2009-01-22 19:59:24,144,539,adc0ch...
alpha_2026,22,2026_146Sm22.root,1106.8,2009-01-22 20:00:14,144,7012,adc0ch...
alpha_2026,23,2026_146Sm23.root,8359.1,2009-01-22 20:00:53,144,56460,adc0ch...
alpha_2026,24,2026_146Sm24.root,1345.9,2009-01-22 20:01:26,144,8623,adc0ch...
alpha_2026,25,2026_146Sm25.root,1121.2,2009-01-22 20:02:06,144,7177,adc0ch...
