source,run,file,entries,E1f_counts,E1f_Sm146,E1f_Sm147,E1f_Eu147,E1f_Am241a,E1f_Am241b,E1b_counts,E1b_Sm146,E1b_Sm147,E1b_Eu147,E1b_Am241a,E1b_Am241b,E2f_counts,E2f_Sm146,E2f_Sm147,E2f_Eu147,E2f_Am241a,E2f_Am241b,E2b_counts,E2b_Sm146,E2b_Sm147,E2b_Eu147,E2b_Am241a,E2b_Am241b,E3f_counts,E3f_Sm146,E3f_Sm147,E3f_Eu147,E3f_Am241a,E3f_Am241b,E3b_counts,E3b_Sm146,E3b_Sm147,E3b_Eu147,E3b_Am241a,E3b_Am241b,E4f_counts,E4f_Sm146,E4f_Sm147,E4f_Eu147,E4f_Am241a,E4f_Am241b,E4b_counts,E4b_Sm146,E4b_Sm147,E4b_Eu147,E4b_Am241a,E4b_Am241b
alpha_2026,1,2026_146Sm1.root,158823,155662,20.0,9.0,24.0,36474.0,58551.0,0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
alpha_2026,2,2026_146Sm2.root,182988,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,175362,42.0,21.0,61.0,41684.0,67198.0,170295,15.0,6.0,14.0,41569.0,68677.0,10,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0
alpha_2026,3,2026_146Sm3.root,169704,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,156771,12.0,6.0,13.0,36084.0,50163.0,142946,34.0,26.0,21.0,34567.0,53804.0,6,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0
alpha_2026,4,2026_146Sm4.root,188540,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,170386,7.0,6.0,30.0,39163.0,55848.0,173834,9.0,12.0,19.0,41626.0,64282.0
alpha_2026,5,2026_146Sm5.root,25678,1389,0.0,0.0,0.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1123,1.0,0.0,0.0,3.0,6.0,1166,1.0,0.0,0.0,5.0,5.0,1105,0.0,0.0,0.0,0.0,4.0,1046,0.0,0.0,0.0,1.0,3.0,1297,0.0,0.0,1.0,4.0,4.0,1289,0.0,0.0,0.0,3.0,4.0
alpha_2026,6,2026_146Sm6.root,3247107,1363,0.0,0.0,0.0,2.0,6.0,0,0.0,0.0,0.0,0.0,0.0,1176,0.0,0.0,0.0,5.0,3.0,1207,1.0,0.0,1.0,2.0,6.0,1426,0.0,0.0,0.0,3.0,2.0,1446,0.0,0.0,0.0,2.0,4.0,1193,1.0,0.0,0.0,7.0,2.0,1175,0.0,0.0,1.0,4.0,3.0
alpha_2026,7,2026_146Sm7.root,6943,1913,0.0,0.0,2.0,7.0,7.0,0,0.0,0.0,0.0,0.0,0.0,1413,2.0,0.0,1.0,3.0,11.0,1433,1.0,0.0,1.0,3.0,7.0,1739,0.0,1.0,0.0,4.0,10.0,1655,1.0,0.0,0.0,4.0,6.0,1327,0.0,0.0,0.0,5.0,6.0,1357,0.0,0.0,0.0,5.0,8.0
alpha_2026,9,2026_146Sm9.root,14490,1448,1.0,0.0,0.0,6.0,5.0,0,0.0,0.0,0.0,0.0,0.0,1286,1.0,0.0,0.0,7.0,1.0,1272,1.0,1.0,0.0,4.0,1.0,1531,1.0,0.0,1.0,2.0,4.0,1460,1.0,1.0,1.0,3.0,2.0,1151,0.0,0.0,2.0,3.0,4.0,1152,0.0,0.0,2.0,3.0,5.0
alpha_2026,12,2026_146Sm12.root,8912,2401,1.0,1.0,2.0,7.0,9.0,0,0.0,0.0,0.0,0.0,0.0,2028,1.0,1.0,0.0,13.0,9.0,2016,1.0,1.0,0.0,13.0,5.0,1395,0.0,1.0,1.0,1.0,2.0,1318,0.0,1.0,1.0,2.0,2.0,1425,0.0,0.0,2.0,7.0,7.0,1308,2.0,0.0,1.0,4.0,11.0
alpha_2026,13,2026_146Sm13.root,9798,2639,0.0,0.0,0.0,5.0,5.0,0,0.0,0.0,0.0,0.0,0.0,2235,1.0,2.0,0.0,13.0,9.0,2218,1.0,1.0,0.0,11.0,3.0,2570,2.0,0.0,1.0,3.0,7.0,2423,2.0,0.0,1.0,7.0,1.0,1522,2.0,1.0,3.0,6.0,8.0,1443,0.0,1.0,4.0,4.0,5.0
