series,peak,n_points,time_min_h,time_max_h,slope,slope_err,lambda_per_hour,lambda_err_per_hour,halflife_hours,halflife_err_hours,halflife_days,halflife_err_days,chi2,ndf,residual_sigma
chamber1,633keV,75,54.6,1431.4,-0.00645659,0.00000923,0.00645659,0.00000923,107.3549,0.1535,4.473122,0.006395,73.00,73,0.0305
chamber1,747keV,75,54.6,1431.4,-0.00661650,0.00001566,0.00661650,0.00001566,104.7603,0.2479,4.365014,0.010331,73.00,73,0.0517
chamber2,633keV,80,55.7,1566.8,-0.00644373,0.00001714,0.00644373,0.00001714,107.5692,0.2861,4.482050,0.011920,78.00,78,0.0631
chamber2,747keV,80,55.7,1566.8,-0.00667850,0.00002793,0.00667850,0.00002793,103.7879,0.4341,4.324494,0.018086,78.00,78,0.1028
chamber3,633keV,82,56.2,1528.4,-0.00649872,0.00001191,0.00649872,0.00001191,106.6590,0.1954,4.444126,0.008143,80.00,80,0.0434
chamber3,747keV,82,56.2,1528.4,-0.00663292,0.00002153,0.00663292,0.00002153,104.5010,0.3392,4.354210,0.014134,80.00,80,0.0784
chamber4,633keV,82,56.0,1529.2,-0.00643861,0.00001116,0.00643861,0.00001116,107.6548,0.1866,4.485616,0.007773,80.00,80,0.0407
chamber4,747keV,82,56.0,1529.2,-0.00666351,0.00002052,0.00666351,0.00002052,104.0214,0.3203,4.334224,0.013345,80.00,80,0.0748
平均-633keV,633keV,4,,,,,,,107.2912,0.0955,4.470466,0.003980,15.38,3,
平均-747keV,747keV,4,,,,,,,104.3950,0.1581,4.349791,0.006587,5.59,3,
平均-chamber1,chamber1,2,,,,,,,106.6361,0.1305,4.443172,0.005438,79.16,1,
平均-chamber2,chamber2,2,,,,,,,106.4242,0.2389,4.434340,0.009953,52.91,1,
平均-chamber3,chamber3,2,,,,,,,106.1213,0.1693,4.421720,0.007056,30.38,1,
平均-chamber4,chamber4,2,,,,,,,106.7343,0.1612,4.447263,0.006717,96.10,1,
总体加权平均,all,8,,,,,,,106.5165,0.0818,4.438189,0.003407,266.82,7,
