file,root_file,spec_id,detector,acquired_at,live_time_s,real_time_s,dead_time_percent,n_channels,total_counts
10.11Co57.Spe,10.11Co57.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-11 15:25:02,2563.0,2565.0,0.0780,16384,36244
10.12.Spe,10.12.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-11 16:29:18,103866.0,103897.0,0.0298,16384,352336
10.13.Spe,10.13.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-12 21:22:34,69676.0,69697.0,0.0301,16384,237566
10.14.Spe,10.14.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-13 16:44:51,72009.0,72030.0,0.0292,16384,244512
10.15.Spe,10.15.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-14 12:49:57,71847.0,71869.0,0.0306,16384,242840
10.16.Spe,10.16.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-15 12:38:53,93366.0,93394.0,0.0300,16384,316881
10.17.Spe,10.17.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-16 14:35:42,96855.0,96885.0,0.0310,16384,328338
10.18.Spe,10.18.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-17 17:30:46,79115.0,79139.0,0.0303,16384,269773
10.18_1_with Pb.Spe,10.18_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-18 21:22:02,571.0,608.0,6.0855,16384,614908
10.18_2_with Pb.Spe,10.18_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-18 22:29:03,618.0,661.0,6.5053,16384,701356
10.18_3_with Pb.Spe,10.18_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-18 23:03:04,601.0,642.0,6.3863,16384,673313
10.18_4_with Pb.Spe,10.18_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-18 22:47:21,584.0,623.0,6.2600,16384,650626
10.20_1_with Pb.Spe,10.20_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-20 09:28:50,542.0,569.0,4.7452,16384,453453
10.20_2_with Pb.Spe,10.20_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-20 09:49:31,582.0,613.0,5.0571,16384,513996
10.20_3_with Pb.Spe,10.20_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-20 10:04:28,606.0,637.0,4.8666,16384,529063
10.20_4_with Pb.Spe,10.20_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-20 10:18:47,572.0,602.0,4.9834,16384,496609
10.21_1_with Pb.Spe,10.21_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-21 09:04:06,612.0,639.0,4.2254,16384,441101
10.21_2_with Pb.Spe,10.21_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-21 09:19:56,617.0,645.0,4.3411,16384,468628
10.21_3_with Pb.Spe,10.21_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-21 09:33:54,668.0,698.0,4.2980,16384,500967
10.21_4_with Pb.Spe,10.21_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-21 09:49:47,596.0,623.0,4.3339,16384,444981
10.22_1_with Pb.Spe,10.22_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-22 09:04:19,574.0,595.0,3.5294,16384,357751
10.22_2_with Pb.Spe,10.22_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-22 09:17:46,554.0,575.0,3.6522,16384,363616
10.22_3_with Pb.Spe,10.22_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-22 09:31:03,586.0,609.0,3.7767,16384,380644
10.22_4_with Pb.Spe,10.22_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-22 09:43:55,592.0,615.0,3.7398,16384,380541
10.23_1_with Pb.Spe,10.23_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-23 09:03:31,631.0,651.0,3.0722,16384,340707
10.23_2_with Pb.Spe,10.23_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-23 09:18:08,576.0,596.0,3.3557,16384,325599
10.23_3_with Pb.Spe,10.23_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-23 09:44:47,558.0,576.0,3.1250,16384,309223
10.23_4_with Pb.Spe,10.23_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-23 09:31:43,565.0,583.0,3.0875,16384,313482
10.24_1_with Pb.Spe,10.24_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-24 09:03:51,605.0,621.0,2.5765,16384,282180
10.24_2_with Pb.Spe,10.24_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-24 09:17:27,580.0,597.0,2.8476,16384,286214
10.24_3_with Pb.Spe,10.24_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-24 09:30:13,603.0,620.0,2.7419,16384,290865
10.24_4_with Pb.Spe,10.24_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-24 09:43:30,566.0,582.0,2.7491,16384,270572
10.25_1_with Pb.Spe,10.25_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-25 09:05:06,1225.0,1255.0,2.3904,16384,496273
10.25_2_with Pb.Spe,10.25_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-25 09:30:03,1185.0,1215.0,2.4691,16384,503058
10.25_3_with Pb.Spe,10.25_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-25 09:53:15,1162.0,1190.0,2.3529,16384,482275
10.25_4_with Pb.Spe,10.25_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-25 10:16:15,1190.0,1219.0,2.3790,16384,489624
10.26_1_with Pb.Spe,10.26_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-26 09:19:45,1440.0,1470.0,2.0408,16384,507506
10.26_2_with Pb.Spe,10.26_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-26 09:47:45,1444.0,1475.0,2.1017,16384,532334
10.26_3_with Pb.Spe,10.26_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-26 10:14:59,1434.0,1465.0,2.1160,16384,514700
10.26_4_with Pb.Spe,10.26_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-26 10:42:12,1471.0,1502.0,2.0639,16384,520631
10.27_1_with Pb.Spe,10.27_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-27 09:23:57,1728.0,1760.0,1.8182,16384,531148
10.27_2_with Pb.Spe,10.27_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-27 10:04:18,1762.0,1796.0,1.8931,16384,558391
10.27_3_with Pb.Spe,10.27_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-27 10:37:47,1732.0,1764.0,1.8141,16384,541586
10.27_4_with Pb.Spe,10.27_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-27 11:10:34,1822.0,1855.0,1.7790,16384,557292
10.28_1_with Pb.Spe,10.28_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-28 09:24:33,2050.0,2083.0,1.5843,16384,548865
10.28_2_with Pb.Spe,10.28_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-28 10:02:35,2054.0,2088.0,1.6284,16384,566999
10.28_3_with Pb.Spe,10.28_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-28 10:39:57,2234.0,2270.0,1.5859,16384,601454
10.28_4_with Pb.Spe,10.28_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-28 11:20:34,2063.0,2095.0,1.5274,16384,544952
10.29_1_with Cu.Spe,10.29_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 12:21:49,291.0,312.0,6.7308,16384,330673
10.29_1_with Pb.Spe,10.29_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 09:33:12,1726.0,1750.0,1.3714,16384,404084
10.29_2_with Cu.Spe,10.29_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 12:13:24,298.0,320.0,6.8750,16384,356550
10.29_2_with Pb.Spe,10.29_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 10:05:15,1763.0,1788.0,1.3982,16384,422936
10.29_3_with Cu.Spe,10.29_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 12:05:11,280.0,300.0,6.6667,16384,329531
10.29_3_with Pb.Spe,10.29_3_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 10:37:38,1792.0,1816.0,1.3216,16384,417802
10.29_4_with 9.5.Spe,10.29_4_with 9.5.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 11:47:59,23.0,30.0,23.3333,16384,111200
10.29_4_with Cu.Spe,10.29_4_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 11:57:06,293.0,314.0,6.6879,16384,342718
10.29_4_with Pb.Spe,10.29_4_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-29 11:10:09,1955.0,1982.0,1.3623,16384,448584
10.30_1_with Cu.Spe,10.30_1_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-30 09:20:47,333.0,353.0,5.6657,16384,335707
10.30_1_with Pb.Spe,10.30_1_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-30 11:06:08,1587.0,1607.0,1.2446,16384,322225
10.30_2_with Cu.Spe,10.30_2_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-30 09:12:12,334.0,356.0,6.1798,16384,350460
10.30_2_with Pb.Spe,10.30_2_with Pb.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-30 10:47:49,2358.0,2387.0,1.2149,16384,484876
10.30_3_with Cu.Spe,10.30_3_with Cu.root,No sample description was entered.,DESKTOP-9VUPE7E Model 927 SN 7115241 Input 1,2025-10-30 09:29:12,330.0,351.0,5.9829,16384,339914
