file,acquired_at,live_time_s,633keV_net,633keV_err,633keV_gross,633keV_bg,633keV_rate,633keV_rate_err,747keV_net,747keV_err,747keV_gross,747keV_bg,747keV_rate,747keV_rate_err
10.11Co57.Spe,2025-10-11 15:25:02,2563.0,10.25,5.45,20.0,9.8,0.003999,0.002128,6.50,3.94,11.0,4.5,0.002536,0.001536
10.12.Spe,2025-10-11 16:29:18,103866.0,3.25,45.35,1030.0,1026.8,0.000031,0.000437,19.00,32.20,528.0,509.0,0.000183,0.000310
10.13.Spe,2025-10-12 21:22:34,69676.0,-45.25,37.08,665.0,710.2,-0.000649,0.000532,-10.50,27.32,368.0,378.5,-0.000151,0.000392
10.14.Spe,2025-10-13 16:44:51,72009.0,-31.50,37.33,681.0,712.5,-0.000437,0.000518,21.50,27.94,401.0,379.5,0.000299,0.000388
10.15.Spe,2025-10-14 12:49:57,71847.0,35.00,37.46,719.0,684.0,0.000487,0.000521,-8.50,26.95,359.0,367.5,-0.000118,0.000375
10.16.Spe,2025-10-15 12:38:53,93366.0,3.50,42.85,920.0,916.5,0.000037,0.000459,-11.00,30.48,459.0,470.0,-0.000118,0.000326
10.17.Spe,2025-10-16 14:35:42,96855.0,1.00,43.14,931.0,930.0,0.000010,0.000445,27.00,31.83,520.0,493.0,0.000279,0.000329
10.18.Spe,2025-10-17 17:30:46,79115.0,-64.50,39.40,744.0,808.5,-0.000815,0.000498,4.50,28.10,397.0,392.5,0.000057,0.000355
10.18_1_with Pb.Spe,2025-10-18 21:22:02,571.0,2346.50,82.91,4610.0,2263.5,4.109457,0.145195,7281.00,98.07,8449.0,1168.0,12.751313,0.171745
10.18_2_with Pb.Spe,2025-10-18 22:29:03,618.0,2549.00,89.22,5255.0,2706.0,4.124595,0.144376,8496.50,105.28,9790.0,1293.5,13.748382,0.170353
10.18_3_with Pb.Spe,2025-10-18 23:03:04,601.0,2552.75,87.23,5081.0,2528.2,4.247504,0.145143,8419.50,104.03,9621.0,1201.5,14.009151,0.173097
10.18_4_with Pb.Spe,2025-10-18 22:47:21,584.0,2561.75,85.83,4964.0,2402.2,4.386558,0.146964,8079.50,102.78,9322.0,1242.5,13.834760,0.176000
10.20_1_with Pb.Spe,2025-10-20 09:28:50,542.0,1709.00,71.15,3386.0,1677.0,3.153137,0.131282,5355.50,84.36,6236.0,880.5,9.880996,0.155645
10.20_2_with Pb.Spe,2025-10-20 09:49:31,582.0,1999.75,76.25,3907.0,1907.2,3.435997,0.131016,6187.50,89.74,7120.0,932.5,10.631443,0.154185
10.20_3_with Pb.Spe,2025-10-20 10:04:28,606.0,2073.50,77.46,4037.0,1963.5,3.421617,0.127827,6581.50,93.03,7618.0,1036.5,10.860561,0.153514
10.20_4_with Pb.Spe,2025-10-20 10:18:47,572.0,1885.50,74.93,3750.0,1864.5,3.296329,0.130996,6183.50,90.00,7142.0,958.5,10.810315,0.157348
10.21_1_with Pb.Spe,2025-10-21 09:04:06,612.0,1679.25,70.57,3330.0,1650.8,2.743873,0.115318,5281.00,83.20,6102.0,821.0,8.629085,0.135955
10.21_2_with Pb.Spe,2025-10-21 09:19:56,617.0,1802.25,72.23,3510.0,1707.8,2.920989,0.117073,5649.00,85.85,6510.0,861.0,9.155592,0.139148
10.21_3_with Pb.Spe,2025-10-21 09:33:54,668.0,1988.50,76.76,3940.0,1951.5,2.976796,0.114904,6290.50,90.21,7214.0,923.5,9.416916,0.135042
10.21_4_with Pb.Spe,2025-10-21 09:49:47,596.0,1799.25,71.67,3468.0,1668.8,3.018876,0.120254,5786.00,85.88,6581.0,795.0,9.708054,0.144100
10.22_1_with Pb.Spe,2025-10-22 09:04:19,574.0,1359.00,63.47,2694.0,1335.0,2.367596,0.110583,4224.50,74.32,4874.0,649.5,7.359756,0.129478
10.22_2_with Pb.Spe,2025-10-22 09:17:46,554.0,1289.50,64.83,2746.0,1456.5,2.327617,0.117016,4417.50,75.83,5084.0,666.5,7.973827,0.136881
10.22_3_with Pb.Spe,2025-10-22 09:31:03,586.0,1516.75,65.75,2920.0,1403.2,2.588311,0.112204,4728.00,78.15,5418.0,690.0,8.068259,0.133368
10.22_4_with Pb.Spe,2025-10-22 09:43:55,592.0,1433.75,65.21,2843.0,1409.2,2.421875,0.110151,4872.50,79.26,5577.0,704.5,8.230574,0.133878
10.23_1_with Pb.Spe,2025-10-23 09:03:31,631.0,1250.75,62.12,2555.0,1304.2,1.982171,0.098451,3874.50,71.77,4513.0,638.5,6.140254,0.113746
10.23_2_with Pb.Spe,2025-10-23 09:18:08,576.0,1259.25,60.85,2481.0,1221.8,2.186198,0.105643,3933.00,72.02,4560.0,627.0,6.828125,0.125036
10.23_3_with Pb.Spe,2025-10-23 09:44:47,558.0,1314.25,59.66,2437.0,1122.8,2.355287,0.106924,3759.50,70.13,4339.0,579.5,6.737455,0.125685
10.23_4_with Pb.Spe,2025-10-23 09:31:43,565.0,1232.75,59.15,2366.0,1133.2,2.181858,0.104698,3898.00,71.04,4472.0,574.0,6.899115,0.125726
10.24_1_with Pb.Spe,2025-10-24 09:03:51,605.0,1055.75,56.43,2120.0,1064.2,1.745041,0.093271,3264.50,65.78,3796.0,531.5,5.395868,0.108733
10.24_2_with Pb.Spe,2025-10-24 09:17:27,580.0,1103.75,56.48,2147.0,1043.2,1.903017,0.097383,3489.50,67.61,4030.0,540.5,6.016379,0.116561
10.24_3_with Pb.Spe,2025-10-24 09:30:13,603.0,1105.75,57.03,2179.0,1073.2,1.833748,0.094575,3707.00,69.25,4251.0,544.0,6.147595,0.114836
10.24_4_with Pb.Spe,2025-10-24 09:43:30,566.0,1153.75,55.54,2119.0,965.2,2.038428,0.098120,3462.50,67.02,3977.0,514.5,6.117491,0.118408
10.25_1_with Pb.Spe,2025-10-25 09:05:06,1225.0,1704.50,74.52,3629.0,1924.5,1.391429,0.060834,5775.00,87.39,6706.0,931.0,4.714286,0.071339
10.25_2_with Pb.Spe,2025-10-25 09:30:03,1185.0,1772.25,75.64,3747.0,1974.8,1.495570,0.063833,5935.00,88.28,6864.0,929.0,5.008439,0.074496
10.25_3_with Pb.Spe,2025-10-25 09:53:15,1162.0,1793.75,74.12,3644.0,1850.2,1.543675,0.063789,5870.50,87.52,6765.0,894.5,5.052065,0.075317
10.25_4_with Pb.Spe,2025-10-25 10:16:15,1190.0,2016.25,75.95,3892.0,1875.8,1.694328,0.063820,6137.50,89.37,7062.0,924.5,5.157563,0.075099
10.26_1_with Pb.Spe,2025-10-26 09:19:45,1440.0,1777.50,75.21,3717.0,1939.5,1.234375,0.052229,5787.00,87.58,6729.0,942.0,4.018750,0.060822
