Filename	MeasurementTime	LiveTime(s)	DeadTime(%)	747keV_NetCounts	747keV_Error	633keV_NetCounts	633keV_Error	634keV_NetCounts	634keV_Error	747keV_CountRate	633keV_CountRate	634keV_CountRate
11.18_1_with 12.5.Spe	11/18/2025 09:11:08	563	2.08696	5301.47	87.7869	4747	87.4357	4715	87.2525	9.41646	8.43162	8.37478
11.18_2_with 12.5.Spe	11/18/2025 09:21:55	498	1.9685	4770.84	82.4449	4636.2	83.041	4616.2	82.9204	9.58001	9.30964	9.26948
11.18_3_with 12.5.Spe	11/18/2025 09:31:27	513	1.72414	5186.75	83.9955	4749.8	82.3055	4716.8	82.1048	10.1106	9.25887	9.19454
11.18_4_with 12.5.Spe	11/18/2025 09:41:10	520	1.70132	5229.19	83.4195	5027.3	82.8414	5007.3	82.7206	10.0561	9.66788	9.62942
11.19_1_with 12.5.Spe	11/19/2025 09:51:02	594	1.9802	4831.91	84.2502	4485.1	84.917	4488.1	84.9347	8.13452	7.55067	7.55572
11.19_2_with 12.5.Spe	11/19/2025 10:02:18	614	1.91693	5229.22	86.5031	5021.9	87.1097	4985.9	86.9028	8.51664	8.17899	8.12036
11.19_3_with 12.5.Spe	11/19/2025 10:13:41	561	1.57895	4825.88	81.044	4533.5	81.0586	4523.5	80.9969	8.60227	8.08111	8.06328
11.19_4_with 12.5.Spe	11/19/2025 10:24:11	704	1.67598	6271.72	91.7839	5827.5	90.5566	5818.5	90.5069	8.90869	8.2777	8.26491
11.20_1_with 12.5.Spe	11/20/2025 09:01:25	539	1.82149	3714.5	75.0566	3471.3	75.952	3469.3	75.9388	6.89147	6.44026	6.43655
11.20_2_with 12.5.Spe	11/20/2025 09:11:26	493	1.79283	3564.91	72.2848	3297.4	72.1983	3284.4	72.1083	7.23105	6.68844	6.66207
11.20_3_with 12.5.Spe	11/20/2025 09:20:52	529	1.48976	3901.59	73.2967	3904.2	74.6713	3886.2	74.5507	7.37541	7.38034	7.34631
11.20_4_with 12.5.Spe	11/20/2025 09:30:56	547	1.44144	4162.44	73.7398	3990.8	74.5198	3977.8	74.4325	7.60957	7.2958	7.27203
11.21_1_with 12.5.Spe	11/21/2025 09:11:01	592	1.66113	3412.94	76.1516	3237.7	74.8485	3240.7	74.8686	5.7651	5.46909	5.47416
11.21_2_with 12.5.Spe	11/21/2025 09:22:03	597	1.48515	3706.59	76.0487	3553.6	75.5804	3546.6	75.5341	6.2087	5.95243	5.9407
11.21_3_with 12.5.Spe	11/21/2025 09:33:52	630	1.40845	3996.22	75.1251	3832.6	75.4811	3807.6	75.3153	6.3432	6.08349	6.04381
11.21_4_with 12.5.Spe	11/21/2025 09:45:33	647	1.22137	4113.34	75.0643	4004.4	76.9389	3982.4	76.7958	6.35756	6.18918	6.15518
11.22_1_with 12.5.Spe	11/22/2025 11:00:41	608	1.45867	3049.97	70.3565	2905.1	72.7661	2912.1	72.8141	5.0164	4.77813	4.78964
11.22_2_with 12.5.Spe	11/22/2025 11:12:00	601	1.47541	3324.03	69.6991	3022.9	70.7185	3001.9	70.5698	5.53083	5.02978	4.99484
11.22_3_with 12.5.Spe	11/22/2025 11:23:08	613	1.28824	3389	69.3037	3298	70.852	3281	70.7319	5.52855	5.3801	5.35237
11.22_4_with 12.5.Spe	11/22/2025 11:34:24	578	1.19658	3104.41	66.7952	2983.3	67.2659	2986.3	67.2882	5.37095	5.16142	5.16661
11.23_1_with 12.5.Spe	11/23/2025 13:00:53	888	1.44284	3636.03	81.1417	3612.1	82.2064	3594.1	82.0969	4.09463	4.06768	4.04741
11.23_2_with 12.5.Spe	11/23/2025 13:17:03	1071	1.38122	4942.91	88.403	4884.6	89.4953	4879.6	89.4673	4.61523	4.56078	4.55612
11.23_3_with 12.5.Spe	11/23/2025 13:36:07	1001	1.1846	4513.34	82.7203	4680.5	83.2316	4691.5	83.2977	4.50883	4.67582	4.68681
11.23_4_with 12.5.Spe	11/23/2025 13:54:05	915	1.08108	4383.91	77.7438	4191.3	79.2382	4168.3	79.093	4.79115	4.58066	4.55552
11.24_1_with 12.5.Spe	11/24/2025 09:15:35	900	1.42388	3314.22	77.2773	3414.8	79.506	3386.8	79.3297	3.68247	3.79422	3.76311
11.24_2_with 12.5.Spe	11/24/2025 09:31:56	901	1.20614	3793.5	76.9058	3634.4	78.3428	3636.4	78.3556	4.21032	4.03374	4.03596
11.24_3_with 12.5.Spe	11/24/2025 09:48:08	972	1.01833	4055.16	77.9028	3934	79.019	3907	78.848	4.17197	4.04733	4.01955
11.24_4_with 12.5.Spe	11/24/2025 10:05:27	943	1.04932	3928.38	75.9712	4093	77.8909	4081	77.8139	4.16583	4.3404	4.32768
11.25_1_with 0.Spe	11/25/2025 10:47:17	407	3.5545	3700.97	81.3082	4036.8	85.3182	4035.8	85.3124	9.09329	9.91843	9.91597
11.25_1_with 12.5.Spe	11/25/2025 09:20:43	952	1.24481	3020.75	76.8066	2999.7	78.7674	2992.7	78.7229	3.17306	3.15095	3.14359
11.25_2_with 0.Spe	11/25/2025 10:40:33	329	3.51906	3456.16	72.5799	3570.1	76.38	3553.1	76.2686	10.505	10.8514	10.7997
11.25_2_with 12.5.Spe	11/25/2025 09:38:01	904	1.20219	3071.75	73.1044	3139.7	75.0353	3124.7	74.9353	3.39795	3.47312	3.45653
11.25_3_with 0.Spe	11/25/2025 10:34:10	305	2.86624	3220	66.5733	3445.2	70.0486	3432.2	69.9557	10.5574	11.2957	11.2531
11.25_3_with 12.5.Spe	11/25/2025 09:54:19	882	1.0101	3090.84	68.6524	2922.6	71.2839	2910.6	71.1997	3.50436	3.31361	3.3
11.25_4_with 0.Spe	11/25/2025 10:27:09	331	2.93255	3522.09	69.9422	3679.5	72.4879	3665.5	72.3913	10.6408	11.1163	11.074
11.25_4_with 12.5.Spe	11/25/2025 10:10:13	925	0.963597	3180.41	70.2965	3401.6	73.7184	3372.6	73.5214	3.43828	3.67741	3.64605
11.26_1_with 0.Spe	11/26/2025 09:20:54	441	3.50109	3611.66	80.8353	3913	83.0361	3900	82.9578	8.1897	8.87302	8.84354
11.26_1_with 12.5.Spe	11/26/2025 11:04:12	1180	1.25523	3075.38	80.837	3371.2	82.2484	3365.2	82.2119	2.60625	2.85695	2.85186
11.26_2_with 0.Spe	11/26/2025 09:29:44	431	3.14607	3730.81	79.0138	4165.4	82.6837	4173.4	82.7321	8.65618	9.6645	9.68306
11.26_2_with 12.5.Spe	11/26/2025 10:43:12	1188	1.16473	3572.22	78.929	3650.4	80.8183	3634.4	80.7193	3.00692	3.07273	3.05926
11.26_3_with 0.Spe	11/26/2025 09:38:25	420	2.5522	3570.5	74.0912	4120.4	77.4183	4099.4	77.2826	8.50119	9.81048	9.76048
11.26_3_with 12.5.Spe	11/26/2025 10:22:29	1166	0.934579	3452.78	75.1214	3623.5	76.6192	3614.5	76.5604	2.96122	3.10763	3.09991
11.26_4_with 0.Spe	11/26/2025 09:53:19	451	2.59179	3890.81	76.1393	4504.1	79.6737	4486.1	79.5607	8.62708	9.98692	9.94701
11.26_4_with 12.5.Spe	11/26/2025 10:02:17	1124	0.881834	3361.38	72.1431	3647.6	75.9236	3614.6	75.706	2.99055	3.2452	3.21584
11.27_1_with 0.Spe	11/27/2025 11:28:58	428	3.386	2942	75.9605	3326.6	78.7363	3291.6	78.5137	6.87383	7.77243	7.69065
11.27_1_with 12.5.Spe	11/27/2025 09:20:50	1214	1.2205	2882.22	78.395	3106	80.6722	3103	80.6536	2.37415	2.55848	2.55601
11.27_2_with 0.Spe	11/27/2025 11:19:03	515	3.01318	3929.72	81.7819	4442.6	85.5301	4418.6	85.3897	7.63052	8.62641	8.57981
11.27_2_with 12.5.Spe	11/27/2025 09:42:31	1455	1.0877	3718.25	83.0647	3833.1	86.2607	3834.1	86.2664	2.5555	2.63443	2.63512
11.27_3_with 0.Spe	11/27/2025 11:11:55	354	2.47934	2741.19	63.7716	2954.2	67.3929	2943.2	67.3112	7.74347	8.3452	8.31412
11.27_3_with 12.5.Spe	11/27/2025 10:08:10	1997	0.8933	5256.56	90.6832	5506.4	96.9309	5479.4	96.7915	2.63223	2.75734	2.74382
11.27_4_with 0.Spe	11/27/2025 11:04:45	348	2.52101	2780.31	63.0848	2898.2	66.3461	2884.2	66.2405	7.9894	8.32816	8.28793
11.27_4_with 12.5.Spe	11/27/2025 10:42:57	1243	0.877193	3303.25	72.6137	3570	75.8551	3547	75.7034	2.65748	2.87208	2.85358
11.28_1_with 0.Spe	11/28/2025 09:42:15	641	3.17221	3739.47	89.233	4282.6	93.3242	4300.6	93.4206	5.8338	6.68112	6.7092
11.28_1_with 12.5.Spe	11/28/2025 11:37:10	1210	1.14379	2577.38	75.0508	2734.3	77.4448	2725.3	77.3867	2.13006	2.25975	2.25231
11.28_2_with 0.Spe	11/28/2025 09:54:25	705	2.75862	4645.22	90.0599	5172.6	94.4849	5150.6	94.3684	6.58896	7.33702	7.30582
11.28_2_with 12.5.Spe	11/28/2025 11:16:27	1169	1.01609	2382.19	71.5668	2939.8	73.6627	2938.8	73.656	2.0378	2.5148	2.51394
11.28_3_with 0.Spe	11/28/2025 10:07:34	556	2.28471	3774.31	76.0374	4189.4	81.2933	4183.4	81.2564	6.78833	7.53489	7.5241
11.28_3_with 12.5.Spe	11/28/2025 10:51:17	1427	0.833912	3240.91	74.2098	3532.9	77.8274	3530.9	77.8145	2.27113	2.47575	2.47435
11.28_4_with 0.Spe	11/28/2025 10:18:10	613	2.23285	4139.5	79.1233	4738.9	84.4814	4734.9	84.4577	6.75285	7.73067	7.72414
11.28_4_with 12.5.Spe	11/28/2025 10:29:47	1220	0.813008	2592.41	67.4951	3020.7	71.3533	3004.7	71.2411	2.12492	2.47598	2.46287
11.29_1_with 0.Spe	11/29/2025 09:54:57	814	2.97974	4090	95.6033	5064.7	101.001	5011.7	100.739	5.02457	6.22199	6.15688
11.29_2_with 0.Spe	11/29/2025 10:10:20	604	2.73752	3303.5	80.2153	4138.3	85.0512	4109.3	84.8805	5.46937	6.85149	6.80348
11.29_3_with 0.Spe	11/29/2025 10:22:12	633	2.16383	3818.16	76.3665	4293.7	81.8554	4258.7	81.6413	6.03184	6.7831	6.7278
11.29_4_with 0.Spe	11/29/2025 10:34:10	584	2.17755	3498.16	74.2418	3951.4	77.6827	3956.4	77.7149	5.98999	6.7661	6.77466
11.30_1_with 0.Spe	11/30/2025 13:11:33	897	2.92208	3875	96.5867	4829.8	102.304	4791.8	102.119	4.31996	5.38439	5.34203
11.30_2_with 0.Spe	11/30/2025 13:28:03	735	2.51989	3378.34	81.9613	4337.6	88.7829	4297.6	88.5573	4.59639	5.9015	5.84707
11.30_3_with 0.Spe	11/30/2025 13:41:19	857	2.05714	4160.28	84.0102	5334.6	90.8262	5312.6	90.705	4.85447	6.22474	6.19907
11.30_4_with 0.Spe	11/30/2025 14:00:05	785	1.9975	3840.5	78.508	4631.9	86.5569	4605.9	86.4066	4.89236	5.90051	5.86739
12.01_1_with 0.Spe	12/01/2025 10:44:32	728	2.80374	2853.34	83.6699	3586.1	88.6899	3593.1	88.7294	3.91943	4.92596	4.93558
12.01_1_with 0_L1.Spe	12/01/2025 10:58:25	671	2.89436	2470.81	78.7095	3288	85.557	3256	85.3698	3.68228	4.90015	4.85246
12.01_2_with 0.Spe	12/01/2025 11:24:26	753	2.46114	3122.25	79.3962	4074.1	87.8857	4042.1	87.7035	4.14641	5.41049	5.36799
12.01_2_with 0_L1.Spe	12/01/2025 11:11:37	690	2.40453	2960.34	76.7832	3732.6	84.0678	3700.6	83.8773	4.29035	5.40957	5.36319
12.01_3_with 0.Spe	12/01/2025 11:38:44	874	1.90797	3701.88	80.3376	4890.8	88.0636	4882.8	88.0182	4.23555	5.59588	5.58673
12.01_4_with 0.Spe	12/01/2025 11:54:37	1660	1.89125	7147.78	109.381	8991.7	119.743	8965.7	119.634	4.30589	5.41669	5.40102
12.02_1_with 0.Spe	12/02/2025 10:32:23	1012	2.78578	3325.97	94.1384	4630.1	101.262	4616.1	101.192	3.28653	4.5752	4.56136
12.02_1_with 0_0.5.Spe	12/02/2025 12:54:52	672	5.48523	4484.69	109.413	6294	116.987	6281	116.932	6.67364	9.36607	9.34673
