Filename	SPE_Filename	MeasurementTime	LiveTime(s)	DeadTime(%)	747keV_NetCounts	747keV_Error	633keV_NetCounts	633keV_Error	634keV_NetCounts	634keV_Error	747keV_CountRate	633keV_CountRate	634keV_CountRate
10.18_1_with Pb.root	10.18_1_with Pb.Spe	10/18/2025 21:22:02	571	6.08553	7637.06	137.058	2025.9	109.664	2015.9	109.618	13.3749	3.54799	3.53047
10.18_2_with Pb.root	10.18_2_with Pb.Spe	10/18/2025 22:29:03	618	6.5053	8794.69	146.742	2387.8	118.094	2374.8	118.039	14.2309	3.86375	3.84272
10.18_3_with Pb.root	10.18_3_with Pb.Spe	10/18/2025 23:03:04	601	6.38629	8132.66	145.449	2409.7	114.045	2436.7	114.163	13.5319	4.00948	4.05441
10.18_4_with Pb.root	10.18_4_with Pb.Spe	10/18/2025 22:47:21	584	6.26003	8342.03	142.758	2370	113.446	2265	112.982	14.2843	4.05822	3.87842
10.20_1_with Pb.root	10.20_1_with Pb.Spe	10/20/2025 09:28:50	542	4.74517	5329.72	118.947	1745.2	93.5457	1740.2	93.519	9.83343	3.21993	3.2107
10.20_2_with Pb.root	10.20_2_with Pb.Spe	10/20/2025 09:49:31	582	5.0571	5988.75	125.44	2101.8	99.1877	2110.8	99.2331	10.2899	3.61134	3.6268
10.20_3_with Pb.root	10.20_3_with Pb.Spe	10/20/2025 10:04:28	606	4.86656	6679.22	130.433	1994.4	101.457	2000.4	101.487	11.0218	3.29109	3.30099
10.20_4_with Pb.root	10.20_4_with Pb.Spe	10/20/2025 10:18:47	572	4.98339	6544.53	124.304	1946	98.3565	1933	98.2904	11.4415	3.4021	3.37937
10.21_1_with Pb.root	10.21_1_with Pb.Spe	10/21/2025 09:04:06	612	4.22535	5454.16	116.309	1626	92.7254	1648	92.844	8.91202	2.65686	2.69281
10.21_2_with Pb.root	10.21_2_with Pb.Spe	10/21/2025 09:19:56	617	4.34109	5686.28	120.174	1980.1	94.5933	1936.1	94.3605	9.21601	3.20924	3.13793
10.21_3_with Pb.root	10.21_3_with Pb.Spe	10/21/2025 09:33:54	668	4.29799	6337.5	125.421	1916.9	99.9255	1913.9	99.9105	9.48728	2.86961	2.86512
10.21_4_with Pb.root	10.21_4_with Pb.Spe	10/21/2025 09:49:47	596	4.33387	5668.59	118.353	1775.5	94.3107	1746.5	94.1568	9.51106	2.97903	2.93037
10.22_1_with Pb.root	10.22_1_with Pb.Spe	10/22/2025 09:04:19	574	3.52941	4454.66	103.978	1360.4	83.4961	1350.4	83.4362	7.76073	2.37003	2.35261
10.22_2_with Pb.root	10.22_2_with Pb.Spe	10/22/2025 09:17:46	554	3.65217	4428.62	106.167	1267.9	85.8027	1234.9	85.6102	7.99391	2.28863	2.22906
10.22_3_with Pb.root	10.22_3_with Pb.Spe	10/22/2025 09:31:03	586	3.77668	4595.59	109.199	1520.7	85.6113	1491.7	85.4418	7.84231	2.59505	2.54556
10.22_4_with Pb.root	10.22_4_with Pb.Spe	10/22/2025 09:43:55	592	3.73984	4714.47	110.316	1487.9	86.3487	1482.9	86.3198	7.96363	2.51334	2.5049
10.23_1_with Pb.root	10.23_1_with Pb.Spe	10/23/2025 09:03:31	631	3.0722	3789.84	102.285	1180.5	82.131	1183.5	82.1493	6.00609	1.87084	1.87559
10.23_2_with Pb.root	10.23_2_with Pb.Spe	10/23/2025 09:18:08	576	3.3557	3932.19	101.527	1265.2	79.8799	1265.2	79.8799	6.82671	2.19653	2.19653
10.23_3_with Pb.root	10.23_3_with Pb.Spe	10/23/2025 09:44:47	558	3.125	3924.47	97.7831	1255.4	77.9012	1254.4	77.8948	7.0331	2.24982	2.24803
10.23_4_with Pb.root	10.23_4_with Pb.Spe	10/23/2025 09:31:43	565	3.08748	3914.56	98.5365	1118.3	78.1262	1141.3	78.2732	6.92843	1.97929	2.02
10.24_1_with Pb.root	10.24_1_with Pb.Spe	10/24/2025 09:03:51	605	2.57649	3238.75	93.5053	968.1	74.4439	971.1	74.4641	5.35331	1.60017	1.60512
10.24_2_with Pb.root	10.24_2_with Pb.Spe	10/24/2025 09:17:27	580	2.84757	3645.28	93.6201	1024.5	74.4278	1016.5	74.3741	6.28497	1.76638	1.75259
10.24_3_with Pb.root	10.24_3_with Pb.Spe	10/24/2025 09:30:13	603	2.74194	3788.88	95.7451	1090.4	75.1771	1064.4	75.004	6.28337	1.80829	1.76517
10.24_4_with Pb.root	10.24_4_with Pb.Spe	10/24/2025 09:43:30	566	2.74914	3496.66	92.9588	1248.8	72.4376	1236.8	72.3547	6.17784	2.20636	2.18516
10.25_1_with Pb.root	10.25_1_with Pb.Spe	10/25/2025 09:05:06	1225	2.39044	5675.53	124.058	1772.5	99.0732	1731.5	98.8661	4.63309	1.44694	1.41347
10.25_2_with Pb.root	10.25_2_with Pb.Spe	10/25/2025 09:30:03	1185	2.46914	6006.47	124.425	1803.1	100.154	1776.1	100.019	5.06875	1.5216	1.49882
10.25_3_with Pb.root	10.25_3_with Pb.Spe	10/25/2025 09:53:15	1162	2.35294	5996.44	122.26	1774	97.6934	1787	97.7599	5.16045	1.52668	1.53787
10.25_4_with Pb.root	10.25_4_with Pb.Spe	10/25/2025 10:16:15	1190	2.379	6407.47	123.598	1996.2	98.7816	1988.2	98.7411	5.38443	1.67748	1.67076
10.26_1_with Pb.root	10.26_1_with Pb.Spe	10/26/2025 09:19:45	1440	2.04082	5732.25	124.819	1692.4	99.7477	1689.4	99.7326	3.98073	1.17528	1.17319
10.26_2_with Pb.root	10.26_2_with Pb.Spe	10/26/2025 09:47:45	1444	2.10169	6500.31	127.215	1932.7	101.298	1966.7	101.466	4.5016	1.33843	1.36198
10.26_3_with Pb.root	10.26_3_with Pb.Spe	10/26/2025 10:14:59	1434	2.11604	6276.53	125.656	2153.2	100.204	2136.2	100.119	4.37694	1.50153	1.48968
10.26_4_with Pb.root	10.26_4_with Pb.Spe	10/26/2025 10:42:12	1471	2.06391	6458.16	127.074	2035.8	100.54	2049.8	100.609	4.39032	1.38396	1.39347
10.27_1_with Pb.root	10.27_1_with Pb.Spe	10/27/2025 09:23:57	1728	1.81818	6052.25	126.893	1958.5	101.673	1960.5	101.683	3.50246	1.13339	1.13455
10.27_2_with Pb.root	10.27_2_with Pb.Spe	10/27/2025 10:04:18	1762	1.8931	6557.97	130.935	1897.2	105.094	1877.2	104.999	3.72189	1.07673	1.06538
10.27_3_with Pb.root	10.27_3_with Pb.Spe	10/27/2025 10:37:47	1732	1.81406	6784.31	126.743	2063.5	102.189	2022.5	101.988	3.91704	1.1914	1.16773
10.27_4_with Pb.root	10.27_4_with Pb.Spe	10/27/2025 11:10:34	1822	1.77898	7071.38	131.136	1849.1	105.484	1800.1	105.252	3.88111	1.01487	0.98798
10.28_1_with Pb.root	10.28_1_with Pb.Spe	10/28/2025 09:24:33	2050	1.58425	6035.62	127.72	1926.6	103.138	1917.6	103.094	2.94421	0.939805	0.935415
10.28_2_with Pb.root	10.28_2_with Pb.Spe	10/28/2025 10:02:35	2054	1.62835	6669.03	132.269	1898.7	104.601	1913.7	104.672	3.24685	0.924391	0.931694
10.28_3_with Pb.root	10.28_3_with Pb.Spe	10/28/2025 10:39:57	2234	1.5859	6937.31	134.293	2180.4	108.736	2155.4	108.621	3.10533	0.976007	0.964816
10.28_4_with Pb.root	10.28_4_with Pb.Spe	10/28/2025 11:20:34	2063	1.52745	6815.38	130.93	2033.7	103.026	2019.7	102.958	3.30362	0.985797	0.979011
10.29_1_with Cu.root	10.29_1_with Cu.Spe	10/29/2025 12:21:49	291	6.73077	5518.66	98.2514	4101.2	92.8913	4065.2	92.6974	18.9645	14.0935	13.9698
10.29_1_with Pb.root	10.29_1_with Pb.Spe	10/29/2025 09:33:12	1726	1.37143	4387.59	109.171	1365.5	88.1504	1333.5	87.9687	2.54206	0.791136	0.772596
10.29_2_with Cu.root	10.29_2_with Cu.Spe	10/29/2025 12:13:24	298	6.875	6097.31	101.62	4377	97.6883	4291	97.2471	20.4608	14.6879	14.3993
10.29_2_with Pb.root	10.29_2_with Pb.Spe	10/29/2025 10:05:15	1763	1.39821	4744.53	113.329	1604.3	90.2425	1608.3	90.2646	2.69117	0.909983	0.912252
10.29_3_with Cu.root	10.29_3_with Cu.Spe	10/29/2025 12:05:11	280	6.66667	6061.59	98.7644	4185.8	94.7745	4105.8	94.3515	21.6485	14.9493	14.6636
10.29_3_with Pb.root	10.29_3_with Pb.Spe	10/29/2025 10:37:38	1792	1.32159	4818.38	112.79	1400.2	91.4538	1359.2	91.2294	2.68883	0.781362	0.758482
10.29_4_with 9.5.root	10.29_4_with 9.5.Spe	10/29/2025 11:47:59	23	23.3333	5932.78	83.1337	5113.1	80.8511	5102.1	80.783	257.947	222.309	221.83
10.29_4_with Cu.root	10.29_4_with Cu.Spe	10/29/2025 11:57:06	293	6.6879	6212.75	100.505	4419.8	96.001	4349.8	95.6358	21.2039	15.0846	14.8457
10.29_4_with Pb.root	10.29_4_with Pb.Spe	10/29/2025 11:10:09	1955	1.36226	5299.44	117.671	1553.9	93.7129	1521.9	93.542	2.71071	0.794834	0.778465
10.30_1_with Cu.root	10.30_1_with Cu.Spe	10/30/2025 09:20:47	333	5.66572	5779.25	98.837	3810.4	93.3145	3783.4	93.1697	17.3551	11.4426	11.3616
10.30_1_with Pb.root	10.30_1_with Pb.Spe	10/30/2025 11:06:08	1587	1.24456	3411.22	97.4822	1043.6	78.641	1030.6	78.5583	2.14948	0.657593	0.649401
10.30_2_with Cu.root	10.30_2_with Cu.Spe	10/30/2025 09:12:12	334	6.17978	6146.31	100.865	4159.1	95.451	4100.1	95.1415	18.4021	12.4524	12.2757
10.30_2_with Pb.root	10.30_2_with Pb.Spe	10/30/2025 10:47:49	2358	1.21491	5390.94	121.017	1844.1	97.1694	1792.1	96.9015	2.28623	0.782061	0.760008
10.30_3_with Cu.root	10.30_3_with Cu.Spe	10/30/2025 09:29:12	330	5.98291	5930.97	100.265	4321.3	95.5965	4261.3	95.2822	17.9726	13.0948	12.913
10.30_3_with Pb.root	10.30_3_with Pb.Spe	10/30/2025 10:20:24	1490	1.19363	3612.09	96.0412	1125.7	76.9825	1112.7	76.898	2.42422	0.755503	0.746779
10.30_4_with Cu.root	10.30_4_with Cu.Spe	10/30/2025 09:37:23	331	5.96591	6312.94	100.564	4261.4	95.4809	4237.4	95.3551	19.0723	12.8743	12.8018
