X,Y
0.499878,0
1.49963,0
2.49939,0
3.49915,0
4.4989,0
5.49866,0
6.49841,0
7.49817,0
8.49793,0
9.49768,0
10.4974,0
11.4972,0
12.4969,0
13.4967,0
14.4965,0
15.4962,0
16.496,0
17.4957,0
18.4955,0
19.4952,0
20.495,0
21.4948,0
22.4945,0
23.4943,0
24.494,0
25.4938,0
26.4935,0
27.4933,0
28.493,0
29.4928,0
30.4926,0
31.4923,0
32.4921,0
33.4918,0
34.4916,0
35.4913,0
36.4911,0
37.4908,0
38.4906,0
39.4904,0
40.4901,0
41.4899,0
42.4896,0
43.4894,0
44.4891,0
45.4889,0
46.4887,0
47.4884,0
48.4882,0
49.4879,0
50.4877,0
51.4874,0
52.4872,0
53.4869,0
54.4867,0
55.4865,0
56.4862,0
57.486,0
58.4857,0
59.4855,0
60.4852,0
61.485,0
62.4847,0
63.4845,0
64.4843,0
65.484,0
66.4838,0
67.4835,0
68.4833,0
69.483,0
70.4828,0
71.4825,0
72.4823,0
73.4821,0
74.4818,0
75.4816,0
76.4813,0
77.4811,0
78.4808,0
79.4806,0
80.4804,0
81.4801,0
82.4799,0
83.4796,0
84.4794,0
85.4791,0
86.4789,0
87.4786,0
88.4784,0
89.4782,4
90.4779,13
91.4777,40
92.4774,130
93.4772,384
94.4769,759
95.4767,1574
96.4764,3182
97.4762,5682
98.476,9277
99.4757,14263
100.475,20753
101.475,27192
102.475,33638
103.475,38940
104.474,42100
105.474,42776
106.474,41033
107.474,37001
108.474,31586
109.473,25673
110.473,19698
111.473,14186
112.473,9774
113.472,6411
114.472,4132
115.472,2611
116.472,1661
117.471,1105
118.471,804
119.471,677
120.471,620
121.47,508
122.47,536
123.47,508
124.47,479
125.469,425
126.469,382
127.469,360
128.469,359
129.468,310
130.468,276
131.468,231
132.468,237
133.467,212
134.467,204
135.467,203
136.467,172
137.466,194
138.466,170
139.466,162
140.466,125
141.465,130
142.465,128
143.465,133
144.465,119
145.464,102
146.464,127
147.464,126
148.464,97
149.464,110
150.463,106
151.463,80
152.463,102
153.463,77
154.462,84
155.462,85
156.462,83
157.462,65
158.461,66
159.461,95
160.461,86
161.461,91
162.46,76
163.46,72
164.46,73
165.46,66
166.459,79
167.459,87
168.459,72
169.459,90
170.458,89
171.458,81
172.458,73
173.458,81
174.457,68
175.457,77
176.457,74
177.457,65
178.456,68
179.456,69
180.456,53
181.456,58
182.455,50
183.455,74
184.455,55
185.455,84
186.454,65
187.454,67
188.454,55
189.454,53
190.454,69
191.453,60
192.453,64
193.453,64
194.453,51
195.452,60
196.452,67
197.452,63
198.452,56
199.451,66
200.451,59
201.451,56
202.451,66
203.45,51
204.45,64
205.45,65
206.45,41
207.449,66
208.449,65
209.449,62
210.449,52
211.448,57
212.448,63
213.448,57
214.448,61
215.447,43
216.447,60
217.447,48
218.447,60
219.446,54
220.446,48
221.446,51
222.446,52
223.445,52
224.445,59
225.445,53
226.445,45
227.444,59
228.444,56
229.444,54
230.444,54
231.443,68
232.443,48
233.443,51
234.443,43
235.443,57
236.442,54
237.442,42
238.442,45
239.442,56
240.441,59
241.441,48
242.441,45
243.441,45
244.44,45
245.44,44
246.44,50
247.44,43
248.439,41
249.439,54
250.439,30
251.439,48
252.438,54
253.438,49
254.438,50
255.438,53
256.437,48
257.437,42
258.437,55
259.437,54
260.436,41
261.436,39
262.436,52
263.436,58
264.435,57
265.435,45
266.435,58
267.435,49
268.434,46
269.434,41
270.434,40
271.434,51
272.433,51
273.433,42
274.433,52
275.433,55
276.433,43
277.432,48
278.432,42
279.432,46
280.432,43
281.431,44
282.431,44
283.431,50
284.431,40
285.43,37
286.43,55
287.43,45
288.43,46
289.429,44
290.429,43
291.429,33
292.429,53
293.428,39
294.428,37
295.428,53
296.428,40
297.427,46
298.427,33
299.427,37
300.427,47
301.426,42
302.426,47
303.426,34
304.426,44
305.425,43
306.425,51
307.425,50
308.425,42
309.424,55
310.424,43
311.424,43
312.424,34
313.423,44
314.423,39
315.423,56
316.423,58
317.423,54
318.422,57
319.422,48
320.422,66
321.422,61
322.421,62
323.421,59
324.421,71
325.421,61
326.42,64
327.42,80
328.42,72
329.42,77
330.419,73
331.419,95
332.419,105
333.419,105
334.418,104
335.418,102
336.418,119
337.418,116
338.417,100
339.417,126
340.417,129
341.417,134
342.416,137
343.416,152
344.416,166
345.416,182
346.415,167
347.415,178
348.415,184
349.415,203
350.414,179
351.414,180
352.414,197
353.414,192
354.413,242
355.413,248
356.413,221
357.413,225
358.412,278
359.412,226
360.412,232
361.412,258
362.412,250
363.411,264
364.411,265
365.411,267
366.411,295
367.41,263
368.41,259
369.41,275
370.41,281
371.409,275
372.409,278
373.409,304
374.409,246
375.408,273
376.408,262
377.408,287
378.408,255
379.407,288
380.407,264
381.407,267
382.407,244
383.406,251
384.406,231
385.406,240
386.406,212
387.405,215
388.405,220
389.405,204
390.405,240
391.404,188
392.404,220
393.404,173
394.404,179
395.403,170
396.403,194
397.403,164
398.403,162
399.402,180
400.402,161
401.402,149
402.402,149
403.402,152
404.401,134
405.401,147
406.401,121
407.401,114
408.4,112
409.4,115
410.4,133
411.4,108
412.399,91
413.399,90
414.399,101
415.399,100
416.398,88
417.398,77
418.398,97
419.398,92
420.397,88
421.397,80
422.397,78
423.397,82
424.396,45
425.396,81
426.396,71
427.396,71
428.395,66
429.395,59
430.395,63
431.395,52
432.394,60
433.394,54
434.394,43
435.394,34
436.393,58
437.393,47
438.393,52
439.393,46
440.392,41
441.392,36
442.392,48
443.392,42
444.392,31
445.391,35
446.391,37
447.391,29
448.391,33
449.39,32
450.39,38
451.39,30
452.39,34
453.389,22
454.389,31
455.389,30
456.389,22
457.388,27
458.388,38
459.388,29
460.388,28
461.387,34
462.387,26
463.387,31
464.387,30
465.386,33
466.386,31
467.386,24
468.386,12
469.385,18
470.385,15
471.385,8
472.385,16
473.384,17
474.384,15
475.384,8
476.384,12
477.383,8
478.383,12
479.383,13
480.383,15
481.382,14
482.382,11
483.382,10
484.382,14
485.381,8
486.381,6
487.381,10
488.381,9
489.381,8
490.38,8
491.38,13
492.38,8
493.38,11
494.379,3
495.379,8
496.379,7
497.379,3
498.378,10
499.378,5
500.378,3
501.378,7
502.377,7
503.377,5
504.377,7
505.377,11
506.376,2
507.376,8
508.376,10
509.376,10
510.375,0
511.375,2
512.375,3
513.375,2
514.374,5
515.374,6
516.374,4
517.374,2
518.373,4
519.373,3
520.373,2
521.373,4
522.372,2
523.372,3
524.372,5
525.372,4
526.371,2
527.371,4
528.371,2
529.371,7
530.371,5
531.37,4
532.37,2
533.37,5
534.37,2
535.369,3
536.369,3
537.369,1
538.369,1
539.368,0
540.368,4
541.368,2
542.368,2
543.367,1
544.367,1
545.367,3
546.367,0
547.366,2
548.366,0
549.366,2
550.366,0
