# 五列数据示例
# X Y1 Err1 Y2 Err2
54.6 8.85955827 0.01438399 8.694236779 0.035721529
90.8 8.599189404 0.016458143 8.472638529 0.040279711
114.3 8.464164344 0.016418253 8.325068688 0.040743729
138.2 8.299187482 0.018213779 8.185462594 0.044739616
162.2 8.119035162 0.019089099 8.035477798 0.046443269
186.2 7.987544056 0.020700608 7.876571888 0.051226095
210.4 7.856649849 0.015702288 7.63448533 0.042724413
234.7 7.694312912 0.015721713 7.554162143 0.039717774
258.9 7.533729105 0.015669516 7.41652257 0.038937409
283.0 7.371302516 0.015560343 7.230810994 0.03965385
307.1 7.206050004 0.018356396 7.077700413 0.046725393
332.6 7.036579714 0.0209339 6.857361555 0.056651814
354.6 6.896657648 0.020889451 6.751364299 0.054847841
