¹⁴⁷Sm/¹⁴⁷Eu α源简单刻度结果
==========================
使用峰: ¹⁴⁷Sm 2.28 MeV, ¹⁴⁷Eu 2.90 MeV
刻度公式: E = a * channel + b
总刻度通道数: 18

通道ID	探测器	通道	斜率a	截距b	Sm峰道	Eu峰道
------	----	----	----	----	------	------
21	0	21	1.485030	251.077844	1366.2	1783.8
24	0	24	1.512195	138.353659	1416.2	1826.2
26	0	26	1.569620	57.025316	1416.2	1811.2
109	1	9	1.530864	326.234568	1276.2	1681.2
200	2	0	1.362637	479.615385	1321.2	1776.2
201	2	1	1.333333	531.666667	1311.2	1776.2
204	2	4	1.347826	472.228261	1341.2	1801.2
220	2	20	0.688889	1920.916667	521.2	1421.2
222	2	22	1.409091	319.602273	1391.2	1831.2
223	2	23	1.550000	139.062500	1381.2	1781.2
224	2	24	1.377778	356.277778	1396.2	1846.2
225	2	25	1.512195	221.524390	1361.2	1771.2
226	2	26	1.579618	66.560510	1401.2	1793.8
321	3	21	1.425287	382.586207	1331.2	1766.2
323	3	23	1.559748	277.672956	1283.8	1681.2
324	3	24	1.377778	342.500000	1406.2	1856.2
325	3	25	1.653333	186.466667	1266.2	1641.2
326	3	26	1.417143	343.828571	1366.2	1803.8
